appt_fnd_reason_cd|obj_id|ver_nbr|appt_fnd_resn_desc|row_actv_ind|
ATR|24F6DE60C44AB0B0E043814FD881B0B0|1.0|At Risk Faculty or Staff-memo needed|Y|
CMP|24F6DE60C44BB0B0E043814FD881B0B0|1.0|Competitive Offers|Y|
DRG|24F6DE60C44CB0B0E043814FD881B0B0|1.0|Additional Degree Earned|Y|
EQM|24F6DE60C44DB0B0E043814FD881B0B0|1.0|Mkt Equity (only IUPUI,SB appvd plans)|Y|
EQU|24F6DE60C44EB0B0E043814FD881B0B0|1.0|Gender/Race Equity-memo needed|Y|
ERR|24F6DE60C44FB0B0E043814FD881B0B0|1.0|Base Rate Data Error|Y|
FLT|24F6DE60C450B0B0E043814FD881B0B0|1.0|Dollar increase lower-paid staff|Y|
GSP|24F6DE60C451B0B0E043814FD881B0B0|1.0|Split Appointment with a Grant|Y|
INC|24F6DE60C452B0B0E043814FD881B0B0|1.0|Incentive Schedule|Y|
ISF|24F6DE60C453B0B0E043814FD881B0B0|1.0|Insufficient Funds Available|Y|
LEV|24F6DE60C454B0B0E043814FD881B0B0|1.0|Currently on Leave|Y|
LUM|24F6DE60C455B0B0E043814FD881B0B0|1.0|Lump sum to be awarded (show amt)|Y|
MKT|24F6DE60C456B0B0E043814FD881B0B0|1.0|Market Related|Y|
MYC|24F6DE60C457B0B0E043814FD881B0B0|1.0|Salary Set other than July 1 (usu. CnG)|Y|
NEG|24F6DE60C458B0B0E043814FD881B0B0|1.0|Negotiated Salary Increment|Y|
NEW|24F6DE60C459B0B0E043814FD881B0B0|1.0|New Hire|Y|
NTN|24F6DE60C45AB0B0E043814FD881B0B0|1.0|Newly Tenured|Y|
PER|24F6DE60C45BB0B0E043814FD881B0B0|1.0|Performance Related|Y|
PRO|24F6DE60C45CB0B0E043814FD881B0B0|1.0|Promotion|Y|
RCE|24F6DE60C45DB0B0E043814FD881B0B0|1.0|Red Circle Employee|Y|
RCL|24F6DE60C45EB0B0E043814FD881B0B0|1.0|Reclassification|Y|
UNN|00933582-A85D-6555-928E-CC369427A560|2.0|UNION: SALARY NOT SET|Y|
VST|50F3021C-322D-4D9B-2463-D7C9627332CF|2.0|VISITOR|Y|
XXX|CB5EECA2-F9DF-77EE-61DD-CB078CB489B4|2.0|TERMINATION|Y|
