fin_obj_sub_typ_cd|obj_id|ver_nbr|fin_obj_sub_typ_nm|row_actv_ind|
AA|014F3DAF6EE6A448E043814FD28EA448|1.0|ALUMNI ACTIVITIES|Y|
AC|014F3DAF6EE7A448E043814FD28EA448|1.0|ACCOUNT SUMMARY OBJECT CODE|Y|
AM|014F3DAF6EE8A448E043814FD28EA448|1.0|ART AND MUSEUM|Y|
AR|014F3DAF6EE9A448E043814FD28EA448|1.0|ACCOUNTS RECEIVABLE|Y|
AS|014F3DAF6EEAA448E043814FD28EA448|1.0|ASSESSMENT|Y|
BD|014F3DAF6EEBA448E043814FD28EA448|1.0|BUILDING|Y|
BF|014F3DAF6EECA448E043814FD28EA448|1.0|BUILDING AND ATTACHED FIXT FED FUNDED|Y|
BI|014F3DAF6F22A448E043814FD28EA448|1.0|BOND ISSUANCE|Y|
BR|014F3DAF6F1CA448E043814FD28EA448|1.0|BUILDING IMPROVMENTS AND RENOVATIONS|Y|
BT|014F3DAF6EEDA448E043814FD28EA448|1.0|BOARD OF TRUSTEES TRAVEL|Y|
BU|014F3DAF6EEEA448E043814FD28EA448|1.0|BUDGET ONLY OBJECT CODES|Y|
BX|014F3DAF6F1DA448E043814FD28EA448|1.0|BUILDING IMP AND RENOVATIONS FED FUNDED|Y|
BY|014F3DAF6F1EA448E043814FD28EA448|1.0|BUILDING IMP AND RENOVATIONS FED OWNED|Y|
C1|014F3DAF6F25A448E043814FD28EA448|1.0|CAPITAL LEASE => CPTL THRESHOLD|Y|
C2|014F3DAF6F24A448E043814FD28EA448|1.0|CAPITAL LEASE < CPTL THRESHOLD|Y|
C3|014F3DAF6F23A448E043814FD28EA448|1.0|CPTL LEASE DEBT BELOW CPTL THRESHOLD|Y|
CA|014F3DAF6EEFA448E043814FD28EA448|1.0|CASH|Y|
CE|014F3DAF6EF0A448E043814FD28EA448|1.0|COST RECOVERY EXPENSE|Y|
CF|014F3DAF6EF1A448E043814FD28EA448|1.0|CAPITAL MOVEABLE EQUIPMENT - FED FUNDED|Y|
CI|014F3DAF6EF2A448E043814FD28EA448|1.0|COST RECOVERY INCOME|Y|
CL|014F3DAF6EF3A448E043814FD28EA448|1.0|CAPITAL LEASE PURCHASES|Y|
CM|014F3DAF6EF4A448E043814FD28EA448|1.0|CAPITAL MOVEABLE EQUIPMENT|Y|
CO|014F3DAF6EF5A448E043814FD28EA448|1.0|CAPITAL MOVEABLE EQUIPMENT - OTHER OWNED|Y|
CP|014F3DAF6EF6A448E043814FD28EA448|1.0|CONSTRUCTION IN PROCESS|Y|
CR|014F3DAF6EF7A448E043814FD28EA448|1.0|COST RECOVERY RESTRICTED|Y|
CU|014F3DAF6EF8A448E043814FD28EA448|1.0|CUSTODIAL FUNDS|Y|
DR|014F3DAF6F21A448E043814FD28EA448|1.0|DEPRECIAITON|Y|
ES|014F3DAF6EF9A448E043814FD28EA448|1.0|EQUIPMENT START-UP COSTS|Y|
FB|014F3DAF6EFAA448E043814FD28EA448|1.0|FUND BALANCE|Y|
FD|014F3DAF6EFBA448E043814FD28EA448|1.0|FINANCING AND DEBT SERVICES|Y|
FR|014F3DAF6EFCA448E043814FD28EA448|1.0|FRINGE BENEFITS|Y|
GI|014F3DAF6EFDA448E043814FD28EA448|1.0|GIFTS|Y|
HO|014F3DAF6EFEA448E043814FD28EA448|1.0|HOSPITALITY EXPENSES|Y|
HW|014F3DAF6EFFA448E043814FD28EA448|1.0|HOURLY WAGES|Y|
IF|014F3DAF6F00A448E043814FD28EA448|1.0|INFRASTRUCTURES|Y|
IN|014F3DAF6F01A448E043814FD28EA448|1.0|INVENTORY|Y|
IV|014F3DAF6F02A448E043814FD28EA448|1.0|INVESTMENTS|Y|
LA|014F3DAF6F03A448E043814FD28EA448|1.0|LAND|Y|
LD|014F3DAF6F04A448E043814FD28EA448|1.0|LOSS ON DISPOSAL OF ASSETS|Y|
LE|014F3DAF6F05A448E043814FD28EA448|1.0|LEASEHOLD IMPROVEMENTS|Y|
LF|014F3DAF6F06A448E043814FD28EA448|1.0|LIBRARY ACQUISITION - FED FUNDED|Y|
LI|014F3DAF6F07A448E043814FD28EA448|1.0|LIBRARY ACQUISITION|Y|
LO|014F3DAF6F20A448E043814FD28EA448|1.0|LOSS ON RETIREMENT OF ASSETS|Y|
LR|014F3DAF6F1FA448E043814FD28EA448|1.0|LAND IMPROVEMENTS|Y|
MT|014F3DAF6F08A448E043814FD28EA448|1.0|MANDATORY TRANSFERS|Y|
NA|014F3DAF6F09A448E043814FD28EA448|1.0|NOT APPLICABLE|Y|
OP|014F3DAF6F0AA448E043814FD28EA448|1.0|OTHER PROVISIONS|Y|
PI|014F3DAF6F0BA448E043814FD28EA448|1.0|PLANT - INDEBTEDNESS|Y|
PL|014F3DAF6F0CA448E043814FD28EA448|1.0|PLANT - CAPITAL ASSETS|Y|
PR|014F3DAF6F0DA448E043814FD28EA448|1.0|PURCHASES FOR RESALE|Y|
