role_rsp_actn_id|obj_id|ver_nbr|actn_typ_cd|priority_nbr|actn_plcy_cd|role_mbr_id|role_rsp_id|frc_actn|
10000|KFS-TEM-RSP-ACTN-000|1.0|A|1.0|F|*|10000|N|
10001|KFS-TEM-RSP-ACTN-001|1.0|A|1.0|F|*|10001|N|
10002|KFS-TEM-RSP-ACTN-002|1.0|A|1.0|F|*|10002|N|
10003|KFS-TEM-RSP-ACTN-003|1.0|A|1.0|F|*|10003|N|
10004|KFS-TEM-RSP-ACTN-004|1.0|A|1.0|F|*|10004|N|
10005|KFS-TEM-RSP-ACTN-005|1.0|A|1.0|F|*|10005|N|
10006|KFS-TEM-RSP-ACTN-006|1.0|A|1.0|F|*|10006|N|
10007|KFS-TEM-RSP-ACTN-007|1.0|A|1.0|F|*|10007|N|
10008|KFS-TEM-RSP-ACTN-008|1.0|A|1.0|F|*|10008|N|
10009|KFS-TEM-RSP-ACTN-009|1.0|A|1.0|F|*|10009|N|
10010|KFS-TEM-RSP-ACTN-010|1.0|A|1.0|F|*|10010|N|
10011|KFS-TEM-RSP-ACTN-011|1.0|A|1.0|F|*|10011|N|
10012|KFS-TEM-RSP-ACTN-012|1.0|A|1.0|F|*|10012|N|
10013|KFS-TEM-RSP-ACTN-013|1.0|A|1.0|F|*|10013|N|
10014|KFS-TEM-RSP-ACTN-014|1.0|A|1.0|F|*|10014|N|
10015|KFS-TEM-RSP-ACTN-015|1.0|A|1.0|F|*|10015|N|
10016|KFS-TEM-RSP-ACTN-016|1.0|A|1.0|F|*|10016|N|
10017|KFS-TEM-RSP-ACTN-017|1.0|A|1.0|F|*|10017|N|
10018|KFS-TEM-RSP-ACTN-018|1.0|A|1.0|F|*|10018|N|
10019|KFS-TEM-RSP-ACTN-019|1.0|A|1.0|F|*|10019|N|
10020|KFS-TEM-RSP-ACTN-020|1.0|A|1.0|F|*|10020|N|
10021|KFS-TEM-RSP-ACTN-021|1.0|A|1.0|F|*|10021|N|
10022|KFS-TEM-RSP-ACTN-022|1.0|A|1.0|F|*|10022|N|
