cptlast_nbr|obj_id|ver_nbr|org_cptlast_typ_id|cptlast_orgtag_nbr|org_txt|
1594.0|45086F424375C1AAE043814FD881C1AA|1.0||||
1748.0|45086F424376C1AAE043814FD881C1AA|1.0||||
1920.0|45086F424377C1AAE043814FD881C1AA|1.0||||
1929.0|45086F424378C1AAE043814FD881C1AA|1.0||||
1930.0|45086F424379C1AAE043814FD881C1AA|1.0||||
1931.0|45086F42437AC1AAE043814FD881C1AA|1.0||||
2053.0|45086F42437BC1AAE043814FD881C1AA|1.0||||
2156.0|45086F42437CC1AAE043814FD881C1AA|1.0||||
2351.0|45086F42437DC1AAE043814FD881C1AA|1.0||||
2352.0|45086F42437EC1AAE043814FD881C1AA|1.0||||
2385.0|45086F42437FC1AAE043814FD881C1AA|1.0||||
2391.0|45086F424380C1AAE043814FD881C1AA|1.0||||
2392.0|45086F424381C1AAE043814FD881C1AA|1.0||IU011103|Asset 209683 merged into this asset|
2393.0|45086F424382C1AAE043814FD881C1AA|1.0||||
2403.0|45086F424383C1AAE043814FD881C1AA|1.0||||
2419.0|45086F424384C1AAE043814FD881C1AA|1.0||||
2459.0|45086F424385C1AAE043814FD881C1AA|1.0||||
2461.0|45086F424386C1AAE043814FD881C1AA|1.0||||
2470.0|45086F424387C1AAE043814FD881C1AA|1.0||||
2518.0|45086F424388C1AAE043814FD881C1AA|1.0||||
2623.0|45086F424389C1AAE043814FD881C1AA|1.0||||
2637.0|45086F42438AC1AAE043814FD881C1AA|1.0||||
3512.0|45086F42438BC1AAE043814FD881C1AA|1.0||||
6339.0|45086F42438CC1AAE043814FD881C1AA|1.0||||
10911.0|45086F42438DC1AAE043814FD881C1AA|1.0||||
10921.0|45086F42438EC1AAE043814FD881C1AA|1.0||||
11039.0|45086F42438FC1AAE043814FD881C1AA|1.0||||
11049.0|45086F424390C1AAE043814FD881C1AA|1.0||||
11051.0|45086F424391C1AAE043814FD881C1AA|1.0||||
11057.0|45086F424392C1AAE043814FD881C1AA|1.0||||
11076.0|45086F424393C1AAE043814FD881C1AA|1.0||||
11174.0|45086F424394C1AAE043814FD881C1AA|1.0||||
11202.0|45086F424395C1AAE043814FD881C1AA|1.0||||
11563.0|45086F424396C1AAE043814FD881C1AA|1.0||||
11567.0|45086F424397C1AAE043814FD881C1AA|1.0||||
11715.0|45086F424398C1AAE043814FD881C1AA|1.0||||
11894.0|45086F424399C1AAE043814FD881C1AA|1.0||||
12010.0|45086F42439AC1AAE043814FD881C1AA|1.0||||
12072.0|45086F42439BC1AAE043814FD881C1AA|1.0||||
12268.0|45086F42439CC1AAE043814FD881C1AA|1.0||||
12269.0|45086F42439DC1AAE043814FD881C1AA|1.0||||
12690.0|45086F42439EC1AAE043814FD881C1AA|1.0||||
12810.0|45086F42439FC1AAE043814FD881C1AA|1.0||||
12859.0|45086F4243A0C1AAE043814FD881C1AA|1.0||||
12864.0|45086F4243A1C1AAE043814FD881C1AA|1.0||||
12865.0|45086F4243A2C1AAE043814FD881C1AA|1.0||||
12868.0|45086F4243A3C1AAE043814FD881C1AA|1.0||||
12873.0|45086F4243A4C1AAE043814FD881C1AA|1.0||||
20090.0|45086F4243A5C1AAE043814FD881C1AA|1.0||||
20095.0|45086F4243A6C1AAE043814FD881C1AA|1.0||||
20098.0|45086F4243A7C1AAE043814FD881C1AA|1.0||||
20100.0|45086F4243A8C1AAE043814FD881C1AA|1.0||||
20104.0|45086F4243A9C1AAE043814FD881C1AA|1.0||||
20105.0|45086F4243AAC1AAE043814FD881C1AA|1.0||||
30057.0|45086F4243ABC1AAE043814FD881C1AA|1.0||||
30082.0|45086F4243ACC1AAE043814FD881C1AA|1.0|||Purchased from Physics|
30926.0|45086F4243ADC1AAE043814FD881C1AA|1.0||||
31150.0|45086F4243AEC1AAE043814FD881C1AA|1.0||||
31228.0|45086F4243AFC1AAE043814FD881C1AA|1.0||||
31806.0|45086F4243B0C1AAE043814FD881C1AA|1.0||||
33896.0|45086F4243B1C1AAE043814FD881C1AA|1.0||||
33969.0|45086F4243B2C1AAE043814FD881C1AA|1.0||||
34286.0|45086F4243B3C1AAE043814FD881C1AA|1.0||||
34452.0|45086F4243B4C1AAE043814FD881C1AA|1.0||||
34713.0|45086F4243B5C1AAE043814FD881C1AA|1.0||||
34922.0|45086F4243B6C1AAE043814FD881C1AA|1.0||||
35781.0|45086F4243B7C1AAE043814FD881C1AA|1.0||||
35782.0|45086F4243B8C1AAE043814FD881C1AA|1.0||||
35954.0|45086F4243B9C1AAE043814FD881C1AA|1.0||||
36053.0|45086F4243BAC1AAE043814FD881C1AA|1.0||||
