fin_coa_cd|org_cd|obj_id|ver_nbr|org_mgr_unvl_id|org_nm|rc_cd|org_phys_cmp_cd|org_typ_cd|org_dflt_acct_nbr|org_ln1_addr|org_ln2_addr|org_city_nm|org_state_cd|org_zip_cd|org_cntry_cd|org_begin_dt|org_end_dt|rpts_to_fin_coa_cd|rpts_to_org_cd|org_active_cd|org_in_fp_cd|org_plnt_acct_nbr|cmp_plnt_acct_nbr|org_plnt_coa_cd|cmp_plnt_coa_cd|
BA|ABDR|014F3DAF755AA448E043814FD28EA448|1.0|4075208273|AMBROSIA CATERING|80|BL|O|6030824|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000|20021015000000|BA|CAFE|N|N|9530824|9530824|BA|BA|
BA|ACAC|014F3DAF755BA448E043814FD28EA448|1.0|4075208273|RPAS ACADEMIC SUPPORT|80|BL|O|6047500|801 N. JORDAN AVE.||BLOOMINGTON|IN|47405|US|20000417000000||BA|PRGE|Y|N|||||
BA|ACPR|014F3DAF755CA448E043814FD28EA448|1.0|3584609748|ACADEMIC PROGRAMS|80|BL|O|6047500|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20020919000000||BA|ACAC|Y|N|9547500|9547500|BA|BA|
BA|ACSH|014F3DAF755DA448E043814FD28EA448|1.0|4075208273|ASHTON CENTER|80|BL|O|6030533|801 N. JORDAN AVE.||BLOOMINGTON|IN|47405|US|20990406000000||BA|HOUS|Y|N|||||
BA|ACSS|014F3DAF8052A448E043814FD28EA448|1.0|5653408083|ACCESS SERVICES|80|BL|O|6026000|2715 E. 10TH||BLOOMINGTON|IN|47405|US|20010807000000||BA|BKST|Y|N|||||
BA|ADAC|014F3DAF755EA448E043814FD28EA448|1.0|4075208273|RPAS THOMAS I ATKINS CENTER|80|BL|O|6031227|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000|20021015000000|BA|ACAC|N|N|9547504|9547504|BA|BA|
BA|ADAF|014F3DAF755FA448E043814FD28EA448|1.0|2539200452|ADMINISTRATIVE AFFAIRS - BLOOMINGTON|80|BL|O|6020000|801 N. JORDAN AVE.||BLOOMINGTON|IN|47405|US|20000210000000||BL|DBFA|Y|N|9521500|9521500|BA|BA|
BA|ADAH|014F3DAF7560A448E043814FD28EA448|1.0|3584609748|APARTMENT HOUSING ADMINISTRATION|80|BL|O|6033000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20020919000000||BA|APTS|Y|N|9530700|9530700|BA|BA|
BA|ADAO|014F3DAF7561A448E043814FD28EA448|1.0|2539200452|ADMINISTRATIVE AFFAIRS - BLMGTN OPERATIN|80|BL|O|6020000|801 N. JORDAN AVE.||BLOOMINGTON|IN|47405|US|20000211000000||BA|ADAF|Y|N|9521500|9521500|BA|BA|
BA|ADFE|014F3DAF7562A448E043814FD28EA448|1.0|3584609748|DINING HALLS ADMINISTRATION|80|BL|O|6032529|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20020919000000||BA|CAFE|Y|N|9530400|9530400|BA|BA|
BA|ADGE|014F3DAF7563A448E043814FD28EA448|1.0|3584609748|CENTRAL ADMINISTRATION|80|BL|O|6030000|801 N. JORDAN AVE.||BLOOMINGTON|IN|47405|US|20000321000000||BA|CAGE|Y|N|9530000|9530000|BA|BA|
BA|ADSH|014F3DAF7564A448E043814FD28EA448|1.0|3584609748|RPAS SINGLE STUDENT HOUSING ADMIN|80|BL|O|6030000|801 N. JORDAN||BLOOMINGTON|IN|47405|US|20980206000000||BA|HOUS|Y|N|9530600|9530600|BA|BA|
BA|AHDU|014F3DAF7565A448E043814FD28EA448|1.0|6219307217|ASSEMBLY HALL DUPLICATING CENTER|80|BL|O|6042704|BRYAN 100||BLOOMINGTON|IN|47405|US|20930701000000|20010810000000|BA|CODS|N|N|9542704|9520000|BA|BA|
