fin_rpt_chrt_cd|fin_rpt_org_cd|fin_rpt_cd|obj_id|ver_nbr|fin_rpt_cd_desc|fin_rep_cd_mgr_id|fin_rpts_to_rpt_cd|row_actv_ind|
UA|VPIT|ABIL|014F3DAF8499A448E043814FD28EA448|1.0|ABILENE|1852001330|TELAVP|Y|
UA|VPIT|ABNOC|014F3DAF83F6A448E043814FD28EA448|1.0|Abilene NOC Operations|1158904135|TELD|Y|
UA|VPIT|ADS|014F3DAF83F7A448E043814FD28EA448|1.0|Advanced Data Systems|4831204607|TELD|Y|
UA|VPIT|AFS|014F3DAF84A5A448E043814FD28EA448|1.0|Academic and Faculty Services|3573105224|TLITAVP|Y|
UA|VPIT|AFSB|014F3DAF84A6A448E043814FD28EA448|1.0|Academic and Faculty Servs Bloomington|1178908078|AFS|Y|
UA|VPIT|AFSI|014F3DAF84A7A448E043814FD28EA448|1.0|Academic and Faculty Servs Indianapolis|3770002751|AFS|Y|
UA|VPIT|AIT-B|014F3DAF83F8A448E043814FD28EA448|1.0|Advanced Info Technology Lab-Bloomington|2556700793|AITL-B|Y|
UA|VPIT|AIT-I|014F3DAF83F9A448E043814FD28EA448|1.0|Advanced Info Technology Lab-Bloomington|2739405454|AITL|Y|
UA|VPIT|AITL|014F3DAF83FAA448E043814FD28EA448|1.0|Advanced Information Technology Lab|4706809038|VPIT|Y|
UA|VPIT|AITL-B|014F3DAF83FBA448E043814FD28EA448|1.0|Advanced Information Lab-Bloomington|2556700793|RACAVP|Y|
UA|VPIT|AITL-I|014F3DAF83FCA448E043814FD28EA448|1.0|Advanced Information Lab-Indianapolis|2739405454|RACAVP|Y|
UA|VPIT|AITL-RAS|014F3DAF83FDA448E043814FD28EA448|1.0|AITL Research & Academic Svs-Bloomington|2556700793|AITL-RASB|Y|
UA|VPIT|AITL-RASB|014F3DAF83FEA448E043814FD28EA448|1.0|AITL Research & Academic Systems - IUB|2556700793|INACTIVE|Y|
UA|VPIT|AITL-RASI|014F3DAF83FFA448E043814FD28EA448|1.0|AITL Research & Academic Systems - IUPUI|2556700793|AITL-I|Y|
UA|VPIT|AITL-TELB|014F3DAF8400A448E043814FD28EA448|1.0|AITL Telecommunications - Bloomington|1158904135|TELAVP|Y|
UA|VPIT|AITL-TELI|014F3DAF8401A448E043814FD28EA448|1.0|AITL Telecommunications - IUPUI|2556700793|AITL-I|Y|
UA|VPIT|AITL-TLIT|014F3DAF8402A448E043814FD28EA448|1.0|AITL Teaching Learning Info Technology|2739405454|AITL-I|Y|
UA|VPIT|AITL-UIS|014F3DAF8403A448E043814FD28EA448|1.0|AITL-University Information Systems|1328800750|USABLE|Y|
UA|VPIT|ATEL|014F3DAF8404A448E043814FD28EA448|1.0|Advanced Techology Lab - Telecom|4606604176|TELV|Y|
UA|VPIT|AVL|014F3DAF8405A448E043814FD28EA448|1.0|Advanced Visualization Laboratory|2836505083|RAC-S|Y|
UA|VPIT|BCDS|014F3DAF8406A448E043814FD28EA448|1.0|Bloomington Campus Data Systems|5084505290|TELD|Y|
UA|VPIT|CATV-I|014F3DAF8407A448E043814FD28EA448|1.0|Cable TV Indianapolis|5088601578|OTTELV|Y|
UA|VPIT|CELL-I|014F3DAF84A0A448E043814FD28EA448|1.0|CELLULAR SERVICES - INDIANAPOLIS|1178908078|TELV-US|Y|
UA|VPIT|CENTSB|014F3DAF8408A448E043814FD28EA448|1.0|Central Support-Bloomington|1178908078|TLIT-B|Y|
UA|VPIT|CENTSI|014F3DAF8409A448E043814FD28EA448|1.0|Central Support-Indianapolis|3770002751|TLIT-I|Y|
UA|VPIT|CLCTR-I|014F3DAF840AA448E043814FD28EA448|1.0|Call Center Indianapolis|3709809956|TELV-US|Y|
UA|VPIT|CONF-WEBDE|014F3DAF8496A448E043814FD28EA448|1.0|CONFERENCES & Web DEVELOPMENT|3075402470|SPEV|Y|
UA|VPIT|CPO|014F3DAF840BA448E043814FD28EA448|1.0|Communications & Planning Office|3714607724|VPIT|Y|
UA|VPIT|CPO-B|014F3DAF840CA448E043814FD28EA448|1.0|Communications & Planning-Bloomington|6190803880|CPO|Y|
UA|VPIT|CPO-I|014F3DAF840DA448E043814FD28EA448|1.0|Communications & Planning-IUPUI|6190803880|CPO|Y|
UA|VPIT|CSERV|014F3DAF840EA448E043814FD28EA448|1.0|Central Attendant Services|3709809956|PHONESVS-I|Y|
UA|VPIT|CTL-B|014F3DAF84A1A448E043814FD28EA448|1.0|Teaching Learning Bloomington|3710008555|AFSB|Y|
UA|VPIT|CTL-FAC|014F3DAF840FA448E043814FD28EA448|1.0|Computer Teaching Lab for Faculty|3643409846|FACTSI|Y|
UA|VPIT|CTL-I|014F3DAF84ABA448E043814FD28EA448|1.0|Teaching Learning Indianapolis|2458709894|AFSI|Y|
