code|nm|actv_ind|ver_nbr|obj_id|
CWK|Co-worker|Y|1.0|BD96AA2415765898E040540A5EFD3A74|
FRD|Friend|Y|1.0|BD96AA2415775898E040540A5EFD3A74|
GRP|Grandparent|Y|1.0|BD96AA2415785898E040540A5EFD3A74|
NON|None|Y|1.0|BD96AA24157F5898E040540A5EFD3A74|
OTH|Other|Y|1.0|BD96AA2415795898E040540A5EFD3A74|
PAR|Partner|Y|1.0|BD96AA24157B5898E040540A5EFD3A74|
PRN|Parent|Y|1.0|BD96AA24157A5898E040540A5EFD3A74|
REL|Relative|Y|1.0|BD96AA24157C5898E040540A5EFD3A74|
SBL|Sibling|Y|1.0|BD96AA24157D5898E040540A5EFD3A74|
SPS|Spouse|Y|1.0|BD96AA24157E5898E040540A5EFD3A74|
