fin_coa_cd|account_nbr|obj_id|ver_nbr|rpts_to_fin_coa_cd|rpts_to_org_cd|
BA|1044900|F4CC141C-B8E1-80FD-DD42-D5D7FD577CC5|2.0|BA|PARK|
BA|1111111|D1AB1521-0ABA-5136-DC09-A961845D6CA7|2.0|BA|ADAF|
BA|6040000|13D28D70-CCC2-CDBA-F659-8F84519671E6|2.0|BA|IMU|
BA|6044900|2AE14400-F9D3-247E-6CBC-20F4281F6316|2.0|BA|PARK|
BA|6044901|A0A1F564-1935-9AEC-8C2B-4ED31C73601F|2.0|BA|PARK|
BA|6044906|F8C394C2-5EA0-4785-9804-659476227A41|2.0|BA|PARK|
BA|6044909|D73E848D-FBF1-E17B-41E2-070AD96927A3|2.0|BA|PARK|
BA|6044913|E6477FD5-0095-C22B-B963-2F1D969290DF|2.0|BA|PARK|
BA|9012025|2E620B51-9CD1-83E3-46FF-DB1A67FB28E7|2.0|BA|PARK|
BA|9019993|A84A556C-7C32-FED6-FE48-3486E2FFDFA0|2.0|BA|PARK|
BA|9019995|4860D0EA-1780-6710-D9FD-09D093870F74|2.0|BA|PARK|
BA|9019996|8D21A473-C87C-1D30-DA93-B495585BAA80|2.0|BA|PARK|
BA|9020174|25A0AE3F-5821-8B86-F776-0F51215820B7|2.0|BA|PARK|
BA|9020175|C6E5F043-8B08-1AF2-6BF5-5A5E5CB7BA05|2.0|BA|PARK|
BA|9020204|6137D783-B1CF-2135-7045-32980F350881|2.0|BA|PARK|
BA|9020224|CF48766D-9CB1-9DD2-309D-6FED2C9ECBE9|2.0|BA|PARK|
BA|9020391|5082C2E0-153A-06FE-5B22-04DAD96E4DA3|2.0|BA|PARK|
BA|9020650|DE8ED301-077E-C307-456C-920663AB95F1|2.0|BA|PARK|
BA|9020805|C136F2DA-027D-F669-D09A-BAE053CC4567|2.0|BA|PARK|
BA|9020857|64700D3C-BFAD-2D57-D69E-85A18B05D9F5|2.0|BA|PARK|
BA|9020860|B3DDF902-0D7F-250D-9E07-A3BE9F97F99C|2.0|BA|PARK|
BA|9021004|F790ED3F-99E8-05D3-EA44-F00E16F008C5|2.0|BA|PARK|
BA|9021104|12AFE527-B46B-CD81-F037-D79FFAB7F06C|2.0|BA|PARK|
BA|9120656|A16EBB33-CB02-5150-4BB0-3177651ED0D6|2.0|BA|PARK|
BA|9120657|41CA4421-B20C-9534-7EA2-0B51B8837947|2.0|BA|PARK|
BA|9244901|2823598D-852E-6312-87A3-BBCAA2F0EFF5|2.0|BA|PARK|
BA|9244940|0290AA9C-A1DB-0280-6A31-037201ECB6BF|2.0|BA|PARK|
BA|9544900|EF501638-DBB0-0DEB-9145-42E95B00A400|2.0|BA|PARK|
BL|0142900|553D0B3F-3E4D-0A02-CC67-D86C22792E00|2.0|BL|RUAD|
BL|0211101|A04A3F05-E11D-9671-350F-35BDF2525C12|2.0|BL|PSY|
BL|0211102|43373D51-B338-3017-96C6-FB04A8FED52C|2.0|BL|PSY|
BL|0211103|9A4B7015-4C72-7E90-DB39-100CEFB9ED7E|2.0|BL|PSY|
BL|0211104|9BB5E068-0449-6D43-45DE-2B3B72B3495F|2.0|BL|PSY|
BL|0211105|7705A445-2779-F1B0-A289-05E3986A6541|2.0|BL|PSY|
BL|0211106|DEC8537E-1436-3845-7549-1E7A14506D8E|2.0|BL|PSY|
BL|0211107|CADD7155-5266-C2CD-5863-D6BD9F377F7B|2.0|BL|PSY|
BL|0211108|C5C675F1-4192-DE3A-D357-ECC246BA505F|2.0|BL|PSY|
BL|0211109|318A981E-3683-AC65-05BD-7C92F5E51A94|2.0|BL|PSY|
BL|0211201|9C93FF28-64F9-79AD-89DC-14D68391FC6F|2.0|BL|PSY|
BL|0211202|F5D215FA-9AF3-9722-74D3-4F522266763A|2.0|BL|PSY|
BL|0211203|FF912C0C-4227-0E3A-CD18-AC426F462D9A|2.0|BL|PSY|
BL|0211204|667C9D6C-EBFC-618B-2668-12747E013A00|2.0|BL|PSY|
BL|0211205|B49EE52D-1F7E-BC9D-EB82-F82BA7BF7C28|2.0|BL|PSY|
