nmspc_cd|cmpnt_clss|prprty_nm|obj_id|ver_nbr|fnctnl_field_descr|active_ind|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AccountsReceivableDocumentHeader|customerNumber|5D06BF993D8D7808E0404F8189D80667|1.0|A unique number assigned to identify each vendor/organization as a customer.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AccountsReceivableDocumentHeader|documentNumber|5D06BF993D8E7808E0404F8189D80667|1.0|A unique, sequential, system-assigned number for a document.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AccountsReceivableDocumentHeader|entryDate|5D06BF993D8F7808E0404F8189D80667|1.0|The date the document was created.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AccountsReceivableDocumentHeader|financialDocumentExplanationText|5D06BF993D907808E0404F8189D80667|1.0|[INCOMPLETE]|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AccountsReceivableDocumentHeader|processingChartOfAccCodeAndOrgCode|5D06BF993D937808E0404F8189D80667|1.0|Centralized units which process payments for AR invoices created by one or more Billing Organization. [INCOMPLETE]|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AccountsReceivableDocumentHeader|processingChartOfAccountCode|5D06BF993D917808E0404F8189D80667|1.0|An alphanumeric value that uniquely identifies a single chart.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AccountsReceivableDocumentHeader|processingOrganizationCode|5D06BF993D927808E0404F8189D80667|1.0|The organization code that uniquely identifies the campus, department or school associated with the user.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AgeTrialBalance|currentInvoiceAmount|5D06BF993D947808E0404F8189D80667|1.0|The total dollar amount that the invoice was created for.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AgeTrialBalance|customerName|5D06BF993D957808E0404F8189D80667|1.0|The name of the customer who is receiving goods or services from the institution.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AgeTrialBalance|customerNumber|5D06BF993D967808E0404F8189D80667|1.0|A unique number assigned to identify each vendor/organization as a customer.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AgeTrialBalance|over30InvoiceAmount|5D06BF993D977808E0404F8189D80667|1.0|Invoice outstanding dollar amounts that have not been paid within 30 days of the original invoice date.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AgeTrialBalance|over60InvoiceAmount|5D06BF993D987808E0404F8189D80667|1.0|Invoice outstanding dollar amounts that have not been paid within 60 days of the original invoice date.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AgeTrialBalance|over90InvoiceAmount|5D06BF993D997808E0404F8189D80667|1.0|Invoice outstanding dollar amounts that have not been paid within 90 days of the original invoice date.|Y|
KFS-AR|org.kuali.kfs.module.ar.businessobject.AgeTrialBalance|personUniversalIdentifier|5D06BF993D9A7808E0404F8189D80667|1.0|[INCOMPLETE]|Y|
