vndr_alias_nm|vndr_hdr_gnrtd_id|vndr_dtl_asnd_id|obj_id|ver_nbr|dobj_maint_cd_actv_ind|
BBBB|2013.0|0.0|4A3972C7-28CD-9728-0C50-1B49027BE70C|3.0|Y|
BOB|2003.0|0.0|B6A39540-76F3-C4C8-296D-BFEDA507EC7A|7.0|Y|
COFFEE|2021.0|0.0|0542711E-4FC6-91DD-C707-BA178F7BD182|1.0|Y|
DIVISION 2 OF MARILYN SMITH|1014.0|2.0|779A6D71-9A76-E3CF-C653-397334F5C272|2.0|Y|
FIRST SEARCH ALIAS NAME|2013.0|0.0|EB04CF9D-7A8A-2BB0-00A1-12E83CA60D8E|3.0|Y|
KODAK|1020.0|0.0|D5FD7A56-E746-0341-1F78-04219AE72DA0|2.0|Y|
MAZIE CORPORATE ACTIVE|1002.0|0.0|08E3834B-AA55-1000-E9B4-B7C04A552D40|3.0|Y|
PI|1016.0|0.0|55FAEFDA-B2D7-1795-9808-F34564C18695|2.0|Y|
REGULAR DV 1 SK|1003.0|0.0|3373A7C6-629B-113F-1BA2-621D22D718B6|1.0|Y|
REGULAR DV 2 SK|1006.0|0.0|C19FDA87-42E9-00AF-47F6-78F32F3D1BC2|1.0|Y|
REGULAR DV 3 SK|1008.0|0.0|B1F3A6DB-FEE1-D995-A04D-AC5D895BEF3B|1.0|Y|
REGULAR DV 4 SK|1013.0|0.0|B661D6C9-C8B0-43FC-1DBA-BACEE53BE79D|1.0|Y|
REGULAR DV 5 SK|1012.0|0.0|B70493BB-F3CF-46BA-87C3-F71D96E0BE0E|1.0|Y|
REGULAR PO INACTIVE VENDOR 1|1015.0|0.0|8C31C72C-AB5B-C97B-91AB-6423B7B0E219|2.0|Y|
