tax_region_cd|tax_rate_effective_dt|obj_id|ver_nbr|tax_rate|
05PERCNTY|20080701000000|5ACF22CFC6094AB0E0404F8189D87AB9|1.0|0.05|
05PERCNTY|20121005000000|CC6E3F4348608716E040540A891E6701|1.0|0.005|
1|10080701000000|5ACF22CFC6044AB0E0404F8189D87AB9|1.0|0.005|
10|20080701000000|5ACF22CFC60D4AB0E0404F8189D87AB9|1.0|0.1721|
11|20080701000000|5ACF22CFC60E4AB0E0404F8189D87AB9|1.0|0.25|
12|20080701000000|5ACF22CFC60F4AB0E0404F8189D87AB9|1.0|0.07|
13|20080701000000|5ACF22CFC6104AB0E0404F8189D87AB9|1.0|0.15|
14|20080701000000|5ACF22CFC6114AB0E0404F8189D87AB9|1.0|0.2|
15|20080701000000|6B64AB2CF6079938E0404F8189D824B6|1.0|0.0025|
2|20020101000000|5ACF22CFC6054AB0E0404F8189D87AB9|1.0|0.0825|
3|20080701000000|5ACF22CFC6064AB0E0404F8189D87AB9|1.0|0.015|
4|20080701000000|5ACF22CFC6074AB0E0404F8189D87AB9|1.0|0.01|
5|20080701000000|5ACF22CFC6084AB0E0404F8189D87AB9|1.0|0.56|
5|20121005000000|CC6E3F4348618716E040540A891E6701|1.0|0.056|
7|20080701000000|5ACF22CFC60A4AB0E0404F8189D87AB9|1.0|0.2|
7|20121005000000|CC6E3F4348628716E040540A891E6701|1.0|0.02|
8|20080701000000|5ACF22CFC60B4AB0E0404F8189D87AB9|1.0|0.175|
9|20080701000000|5ACF22CFC60C4AB0E0404F8189D87AB9|1.0|0.1125|
