use_crit_cd|use_crit_desc|row_actv_ind|obj_id|ver_nbr|
A|"Academic (i.e. GPA, Merit)"|Y|8529CD484DCA060AE0404F8189D81C0B|1.0|
AP|"Academic (i.e. GPA, Merit)--Preference"|Y|8529CD484DCB060AE0404F8189D81C0B|1.0|
C|"County, Area, State, City, Country"|Y|8529CD484DCC060AE0404F8189D81C0B|1.0|
CP|"County, Area, State, City, Country--Preference"|Y|8529CD484DCD060AE0404F8189D81C0B|1.0|
D|Limits on dollar amount/number of|Y|8529CD484DCE060AE0404F8189D81C0B|1.0|
DP|Limits on dollar amount/number of--Preference|Y|8529CD484DCF060AE0404F8189D81C0B|1.0|
F|Faith/Religion|Y|8529CD484DD0060AE0404F8189D81C0B|1.0|
FP|Faith/Religion--Preference|Y|8529CD484DD1060AE0404F8189D81C0B|1.0|
G|Gender|Y|8529CD484DD2060AE0404F8189D81C0B|1.0|
GP|Gender--Preference|Y|8529CD484DD3060AE0404F8189D81C0B|1.0|
H|High School|Y|8529CD484DD4060AE0404F8189D81C0B|1.0|
HP|High School--Preference|Y|8529CD484DD5060AE0404F8189D81C0B|1.0|
I|Indiana Resident|Y|8529CD484DD6060AE0404F8189D81C0B|1.0|
IP|Indiana Resident--Preference|Y|8529CD484DD7060AE0404F8189D81C0B|1.0|
L|Leadership|Y|8529CD484DD8060AE0404F8189D81C0B|1.0|
LP|Leadership--Preference|Y|8529CD484DD9060AE0404F8189D81C0B|1.0|
M|Marital Status|Y|8529CD484DDA060AE0404F8189D81C0B|1.0|
MP|Marital Status--Preference|Y|8529CD484DDB060AE0404F8189D81C0B|1.0|
N|Need|Y|8529CD484DDC060AE0404F8189D81C0B|1.0|
NP|Need--Preference|Y|8529CD484DDD060AE0404F8189D81C0B|1.0|
O|"Organization (i.e. sorority, fraternity)"|Y|8529CD484DDE060AE0404F8189D81C0B|1.0|
OP|"Organization (i.e. sorority, fraternity)--Preference"|Y|8529CD484DDF060AE0404F8189D81C0B|1.0|
Q|US Citizen|Y|8529CD484DE0060AE0404F8189D81C0B|1.0|
QP|US Citizen--Preference|Y|8529CD484DE1060AE0404F8189D81C0B|1.0|
R|Race|Y|8529CD484DE2060AE0404F8189D81C0B|1.0|
RP|Race--Preference|Y|8529CD484DE3060AE0404F8189D81C0B|1.0|
S|"Class Standing (i.e. sophomore, junior, etc.)"|Y|8529CD484DE4060AE0404F8189D81C0B|1.0|
SP|"Class Standing (i.e. sophomore, junior, etc.)--Preference"|Y|8529CD484DE5060AE0404F8189D81C0B|1.0|
T|International Student|Y|8529CD484DE6060AE0404F8189D81C0B|1.0|
TP|International Student--Preference|Y|8529CD484DE7060AE0404F8189D81C0B|1.0|
U|"Unit (major, minor, discipline specific or program, sport)"|Y|8529CD484DE8060AE0404F8189D81C0B|1.0|
UP|"Unit (major, minor, discipline specific or program, sport)--Preference"|Y|8529CD484DE9060AE0404F8189D81C0B|1.0|
X|Full-time/Part-time|Y|8529CD484DEA060AE0404F8189D81C0B|1.0|
XP|Full-time/Part-time--Preference|Y|8529CD484DEB060AE0404F8189D81C0B|1.0|
Y|Renewable/Non-renewable|Y|8529CD484DEC060AE0404F8189D81C0B|1.0|
YP|Renewable/Non-renewable--Preference|Y|8529CD484DED060AE0404F8189D81C0B|1.0|
Z|Other|Y|8529CD484DEE060AE0404F8189D81C0B|1.0|
ZP|Other--Preference|Y|8529CD484DEF060AE0404F8189D81C0B|1.0|
