sec_id|sec_desc|sec_tkr_symb|sec_cls_cd|sec_subcls_cd|sec_mat_dt|sec_unit_val|sec_units_held|sec_val_dt|unit_val_src|prev_unit_val|prev_unit_val_dt|sec_cval|last_tran_dt|sec_inc_pay_freq|sec_inc_next_pay_dt|sec_rt|sec_inc_chg_dt|sec_iss_dt|sec_dvdnd_rec_dt|sec_ex_dvdnd_dt|sec_dvdnd_pay_dt|sec_dvdnd_amt|cmtmnt_amt|row_actv_ind|obj_id|ver_nbr|nxt_fscl_yr_dstrb_amt|sec_val_by_mkt|
004764106|Acme Packet Incorporated|APKT|400|||15.8|0.0|20071005000000|FTI|15.76|20071004000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A05060AE0404F8189D81C0B|1.0|0.0||
023184203|Amber Res Cocom Par $0.0625||400|||0.25|1550.0|19961231000000|CONVERSION|0.0||3875.0|19940728000000|||0.0||||||0.0||Y|8529CD484A07060AE0404F8189D81C0B|1.0|0.0||
030955AL2|Ameritech Cap Fddtd 01/21/986.150% Due 01/15/2008|ACFY08|200||20080115000000|100.0|0.0|20080115000000|FTI|100.0|20080115000000|0.0|20010910000000|IJ15|20080115000000|0.0615||||||0.0||Y|8529CD484A34060AE0404F8189D81C0B|1.0|0.0||
03761U106|Apollo Investment Corporation|AINV|400|||8.35|0.0|20090116000000|FTI|8.22|20090115000000|0.0|||20081229000000|2.08|20081107000000||20081218000000|20081216000000|20081229000000|0.52|0.0|Y|8529CD484A35060AE0404F8189D81C0B|1.0|0.0||
04314Z998|Artistic Media Partners Inc.||400|||1.0|70600.0|20080630000000|khopkins|2.87|20080630000000|529574.43|20000522000000|||0.0||||||0.0||Y|8529CD484A36060AE0404F8189D81C0B|1.0|0.0||
043176106|Aruba Networks|ARUN|400|||8.84|0.0|20091123000000|FTI|8.94|20091120000000|0.0||||0.0||||||0.0|0.0|Y|8529CD484A08060AE0404F8189D81C0B|1.0|0.0||
054303102|Avon Prods Inc Com|AVP|400|||31.99|0.0|20100106000000|FTI|32.25|20100105000000|0.0|20050228000000||20090302000000|0.84|20090204000000||20090217000000|20090212000000|20090302000000|0.21||Y|8529CD484A09060AE0404F8189D81C0B|1.0|0.0||
071707103|Bausch & Lomb Inc.|BOL|400|||68.22|0.0|20070718000000|FTI|67.9|20070717000000|0.0|20050504000000||20070702000000|0.52|20070503000000||20070601000000|20070530000000|20070702000000|0.13||Y|8529CD484A0A060AE0404F8189D81C0B|1.0|0.0||
09062X103|Cnv:biogen Idec Inc|BIIB|400|||46.81|0.0|20090107000000|FTI|46.47|20090106000000|0.0||||0.0||||||0.0||Y|8529CD484A37060AE0404F8189D81C0B|1.0|0.0||
09253U108|Blackstone Group LP|BX|400|||14.04|40000.0|20100106000000|FTI|13.79|20100105000000|891766.6|||20090409000000|0.0|20090228000000|||||0.0|0.0|Y|8529CD484A38060AE0404F8189D81C0B|1.0|0.0||
094420981|Bloomington Advancement Corporation||400|||500.0|20.0|20051017000000|CONVERSION|0.0||10000.0|20020627000000|||0.0||||||0.0||Y|8529CD484A0B060AE0404F8189D81C0B|1.0|0.0||
