kemid|bene_org_seq|bene_org_cd|bene_pct|row_actv_ind|ver_nbr|obj_id|bene_org_strt_dt|bene_org_chg_dt|bene_chrt_cd|
032A017014|1.0|ATHL|1.0|Y|1.0|8529CD484C6E060AE0404F8189D81C0B|20051101000000||BL|
032AS06149|1.0|CHEM|1.0|Y|1.0|8529CD484C6F060AE0404F8189D81C0B|20051101000000||BL|
032AS06198|1.0|CHEM|1.0|Y|1.0|8529CD484C70060AE0404F8189D81C0B|20051101000000||BL|
032AS08053|1.0|CMLT|1.0|Y|1.0|8529CD484C71060AE0404F8189D81C0B|20051101000000||BL|
032AS11040|1.0|DECO|1.0|Y|1.0|8529CD484C72060AE0404F8189D81C0B|20051101000000||BL|
032B011354|1.0|BUS|1.0|Y|1.0|8529CD484C73060AE0404F8189D81C0B|20051101000000||BL|
032D008242|1.0|DENT|1.0|Y|1.0|8529CD484C74060AE0404F8189D81C0B|20061222000000||IN|
032L006015|1.0|LAWS|1.0|Y|1.0|8529CD484C75060AE0404F8189D81C0B|20051101000000||BL|
032L006098|1.0|LAWS|1.0|Y|1.0|8529CD484C76060AE0404F8189D81C0B|20051101000000||BL|
032P002085|1.0|STLI|1.0|Y|1.0|8529CD484C77060AE0404F8189D81C0B|20071130000000||IN|
032P002101|1.0|STLI|1.0|Y|1.0|8529CD484C78060AE0404F8189D81C0B|20080619000000||IN|
032P011045|1.0|LART|1.0|Y|1.0|8529CD484C79060AE0404F8189D81C0B|20051101000000||IN|
032P011094|1.0|LART|1.0|Y|1.0|8529CD484C7A060AE0404F8189D81C0B|20051101000000||IN|
037A014184|1.0|ATHL|1.0|Y|1.0|8529CD484C7B060AE0404F8189D81C0B|20051101000000||BL|
037A017013|1.0|ATHL|1.0|Y|1.0|8529CD484C7C060AE0404F8189D81C0B|20051101000000||BL|
037AS12302|1.0|ENG|1.0|Y|1.0|8529CD484C7D060AE0404F8189D81C0B|20061109000000||BL|
037AS34082|1.0|SOC|1.0|Y|1.0|8529CD484C7E060AE0404F8189D81C0B|20051101000000||BL|
037AS35022|1.0|SPAN|1.0|Y|1.0|8529CD484C7F060AE0404F8189D81C0B|20051101000000||BL|
037AS36012|1.0|CMCL|1.0|Y|1.0|8529CD484C80060AE0404F8189D81C0B|20051101000000||BL|
037AS38026|1.0|CEUS|1.0|Y|1.0|8529CD484C81060AE0404F8189D81C0B|20051101000000||BL|
037AS54239|1.0|FINA|1.0|Y|1.0|8529CD484C82060AE0404F8189D81C0B|20070928000000||BL|
037B011AG1|1.0|BUS|1.0|Y|1.0|8529CD484C83060AE0404F8189D81C0B|20051101000000||BL|
037B012161|1.0|BUS|1.0|Y|1.0|8529CD484C84060AE0404F8189D81C0B|20051101000000||IN|
037E009701|1.0|EDUC|1.0|Y|1.0|8529CD484C85060AE0404F8189D81C0B|20070508000000||BL|
037E009727|1.0|EDUC|1.0|Y|1.0|8529CD484C86060AE0404F8189D81C0B|20081210000000||BL|
037F002010|1.0|AMUS|1.0|Y|1.0|8529CD484C87060AE0404F8189D81C0B|20051101000000||BL|
