ar_clctn_actvty_typ_cd|obj_id|ver_nbr|actvty_desc|rfrl_ind|dun_prcs_ind|actv_ind|
CFPI|EDC0BE4713E53031E040E00ABCD64EE1|1.0|Call From Project Director|N|N|Y|
CFSR|EDC0BE4713E63031E040E00ABCD64EE1|1.0|Call From Sponsor|N|N|Y|
CMTS|EDC0BE4713E73031E040E00ABCD64EE1|1.0|Call Made to Sponsor|N|N|Y|
ERFS|EDC0BE4713E83031E040E00ABCD64EE1|1.0|Email Received From Sponsor|N|N|Y|
ESTS|EDC0BE4713E93031E040E00ABCD64EE1|1.0|Email Sent To Sponsor|N|N|Y|
FRFS|EDC0BE4713EA3031E040E00ABCD64EE1|1.0|Fax Received From Sponsor|N|N|Y|
FRSS|EDC0BE4713EB3031E040E00ABCD64EE1|1.0|Financial Report Sent To Sponsor|N|N|Y|
LRFS|EDC0BE4713EC3031E040E00ABCD64EE1|1.0|Letter Received From Sponsor|N|N|Y|
LSTS|EDC0BE4713ED3031E040E00ABCD64EE1|1.0|Letter Sent To Sponsor|N|Y|Y|
RTCL|EDC0BE4713F33031E040E00ABCD64EE1|1.0|Referral To Collections|Y|N|Y|
SCTR|EDC0BE4713F23031E040E00ABCD64EE1|1.0|Special Collection Team Review|N|N|Y|
TODO|EDC0BE4713EE3031E040E00ABCD64EE1|1.0|My To Do Activity|N|N|Y|
TTSC|EDC0BE4713F03031E040E00ABCD64EE1|1.0|Transfer To Special Collection|N|N|Y|
TTST|EDC0BE4713F13031E040E00ABCD64EE1|1.0|Transferred To State|N|N|Y|
