etran_cd|chart_cd|object|obj_id|ver_nbr|row_actv_ind|
00100|BL|8007|8D68C4FCFDD8212CE0404F8189D839AC||Y|
00100|IN|8007|8D68C4FCFE52212CE0404F8189D839AC||Y|
00100|UA|8007|8D68C4FCFE15212CE0404F8189D839AC||Y|
01005|BL|8000|8D68C4FCFDD9212CE0404F8189D839AC||Y|
01005|IN|8000|8D68C4FCFE53212CE0404F8189D839AC||Y|
01005|UA|8000|8D68C4FCFE16212CE0404F8189D839AC||Y|
01200|BL|8004|8D68C4FCFDDA212CE0404F8189D839AC||Y|
01200|IN|8004|8D68C4FCFE54212CE0404F8189D839AC||Y|
01200|UA|8004|8D68C4FCFE17212CE0404F8189D839AC||Y|
01205|BL|8004|8D68C4FCFDDB212CE0404F8189D839AC||Y|
01205|IN|8004|8D68C4FCFE55212CE0404F8189D839AC||Y|
01205|UA|8004|8D68C4FCFE18212CE0404F8189D839AC||Y|
01290|BL|8004|8D68C4FCFDDC212CE0404F8189D839AC||Y|
01290|IN|8004|8D68C4FCFE56212CE0404F8189D839AC||Y|
01290|UA|8004|8D68C4FCFE19212CE0404F8189D839AC||Y|
02020|BL|8117|8D68C4FCFDDD212CE0404F8189D839AC||Y|
02020|IN|8117|8D68C4FCFE57212CE0404F8189D839AC||Y|
02020|UA|8117|8D68C4FCFE1A212CE0404F8189D839AC||Y|
02100|BL|8117|8D68C4FCFDDE212CE0404F8189D839AC||Y|
02100|IN|8117|8D68C4FCFE58212CE0404F8189D839AC||Y|
02100|UA|8117|8D68C4FCFE1B212CE0404F8189D839AC||Y|
03050|BL|8100|8D68C4FCFDDF212CE0404F8189D839AC||Y|
03050|IN|8100|8D68C4FCFE59212CE0404F8189D839AC||Y|
03050|UA|8100|8D68C4FCFE1C212CE0404F8189D839AC||Y|
05030|BL|8200|8D68C4FCFDE0212CE0404F8189D839AC||Y|
05030|IN|8200|8D68C4FCFE5A212CE0404F8189D839AC||Y|
05030|UA|8200|8D68C4FCFE1D212CE0404F8189D839AC||Y|
05035|BL|8200|8D68C4FCFDE1212CE0404F8189D839AC||Y|
05035|IN|8200|8D68C4FCFE5B212CE0404F8189D839AC||Y|
05035|UA|8200|8D68C4FCFE1E212CE0404F8189D839AC||Y|
05100|BL|8200|8D68C4FCFDE2212CE0404F8189D839AC||Y|
05100|IN|8200|8D68C4FCFE5C212CE0404F8189D839AC||Y|
05100|UA|8200|8D68C4FCFE1F212CE0404F8189D839AC||Y|
06000|BL|8510|8D68C4FCFDE3212CE0404F8189D839AC||Y|
06000|IN|8510|8D68C4FCFE5D212CE0404F8189D839AC||Y|
06000|UA|8510|8D68C4FCFE20212CE0404F8189D839AC||Y|
10000|BL|8504|8D68C4FCFDE4212CE0404F8189D839AC||Y|
10000|IN|8504|8D68C4FCFE5E212CE0404F8189D839AC||Y|
10000|UA|8504|8D68C4FCFE21212CE0404F8189D839AC||Y|
10100|BL|8501|8D68C4FCFDE5212CE0404F8189D839AC||Y|
10100|IN|8501|8D68C4FCFE5F212CE0404F8189D839AC||Y|
10100|UA|8501|8D68C4FCFE22212CE0404F8189D839AC||Y|
10200|BL|8501|8D68C4FCFDE6212CE0404F8189D839AC||Y|
10200|IN|8501|8D68C4FCFE60212CE0404F8189D839AC||Y|
10200|UA|8501|8D68C4FCFE23212CE0404F8189D839AC||Y|
10300|BL|8501|8D68C4FCFDE7212CE0404F8189D839AC||Y|
10300|IN|8501|8D68C4FCFE61212CE0404F8189D839AC||Y|
10300|UA|8501|8D68C4FCFE24212CE0404F8189D839AC||Y|
10400|BL|8510|8D68C4FCFDE8212CE0404F8189D839AC||Y|
10400|IN|8510|8D68C4FCFE62212CE0404F8189D839AC||Y|
10400|UA|8510|8D68C4FCFE25212CE0404F8189D839AC||Y|
10600|BL|8510|8D68C4FCFDE9212CE0404F8189D839AC||Y|
10600|IN|8510|8D68C4FCFE63212CE0404F8189D839AC||Y|
10600|UA|8510|8D68C4FCFE26212CE0404F8189D839AC||Y|
10601|BL|8510|8D68C4FCFE13212CE0404F8189D839AC||Y|
10601|IN|8510|8D68C4FCFE8D212CE0404F8189D839AC||Y|
10601|UA|8510|8D68C4FCFE50212CE0404F8189D839AC||Y|
10700|BL|8510|8D68C4FCFDEA212CE0404F8189D839AC||Y|
10700|IN|8510|8D68C4FCFE64212CE0404F8189D839AC||Y|
10700|UA|8510|8D68C4FCFE27212CE0404F8189D839AC||Y|
10900|BL|8510|8D68C4FCFDEB212CE0404F8189D839AC||Y|
10900|IN|8510|8D68C4FCFE65212CE0404F8189D839AC||Y|
10900|UA|8510|8D68C4FCFE28212CE0404F8189D839AC||Y|
11000|BL|8598|8D68C4FCFDEC212CE0404F8189D839AC||Y|
11000|IN|8598|8D68C4FCFE66212CE0404F8189D839AC||Y|
11000|UA|8598|8D68C4FCFE29212CE0404F8189D839AC||Y|
11100|BL|8598|8D68C4FCFDED212CE0404F8189D839AC||Y|
11100|IN|8598|8D68C4FCFE67212CE0404F8189D839AC||Y|
11100|UA|8598|8D68C4FCFE2A212CE0404F8189D839AC||Y|
11500|BL|8598|8D68C4FCFDEE212CE0404F8189D839AC||Y|
11500|IN|8598|8D68C4FCFE68212CE0404F8189D839AC||Y|
11500|UA|8598|8D68C4FCFE2B212CE0404F8189D839AC||Y|
11700|BL|8598|8D68C4FCFDEF212CE0404F8189D839AC||Y|
11700|IN|8598|8D68C4FCFE69212CE0404F8189D839AC||Y|
11700|UA|8598|8D68C4FCFE2C212CE0404F8189D839AC||Y|
12000|BL|8598|8D68C4FCFDF0212CE0404F8189D839AC||Y|
12000|IN|8598|8D68C4FCFE6A212CE0404F8189D839AC||Y|
12000|UA|8598|8D68C4FCFE2D212CE0404F8189D839AC||Y|
12100|BL|8598|8D68C4FCFDF1212CE0404F8189D839AC||Y|
12100|IN|8598|8D68C4FCFE6B212CE0404F8189D839AC||Y|
12100|UA|8598|8D68C4FCFE2E212CE0404F8189D839AC||Y|
12500|BL|8598|8D68C4FCFDF2212CE0404F8189D839AC||Y|
12500|IN|8598|8D68C4FCFE6C212CE0404F8189D839AC||Y|
12500|UA|8598|8D68C4FCFE2F212CE0404F8189D839AC||Y|
13000|BL|8509|8D68C4FCFDF3212CE0404F8189D839AC||Y|
13000|IN|8509|8D68C4FCFE6D212CE0404F8189D839AC||Y|
13000|UA|8509|8D68C4FCFE30212CE0404F8189D839AC||Y|
14000|BL|8509|8D68C4FCFDF4212CE0404F8189D839AC||Y|
14000|IN|8509|8D68C4FCFE6E212CE0404F8189D839AC||Y|
14000|UA|8509|8D68C4FCFE31212CE0404F8189D839AC||Y|
15000|BL|8510|8D68C4FCFDF5212CE0404F8189D839AC||Y|
15000|IN|8510|8D68C4FCFE6F212CE0404F8189D839AC||Y|
15000|UA|8510|8D68C4FCFE32212CE0404F8189D839AC||Y|
17000|BL|8550|8D68C4FCFDF6212CE0404F8189D839AC||Y|
17000|IN|8550|8D68C4FCFE70212CE0404F8189D839AC||Y|
17000|UA|8550|8D68C4FCFE33212CE0404F8189D839AC||Y|
22025|BL|9080|8D68C4FCFDF7212CE0404F8189D839AC||Y|
22025|IN|9080|8D68C4FCFE71212CE0404F8189D839AC||Y|
22025|UA|9080|8D68C4FCFE34212CE0404F8189D839AC||Y|
22500|BL|9080|8D68C4FCFDF8212CE0404F8189D839AC||Y|
22500|IN|9080|8D68C4FCFE72212CE0404F8189D839AC||Y|
22500|UA|9080|8D68C4FCFE35212CE0404F8189D839AC||Y|
24000|BL|9100|8D68C4FCFDF9212CE0404F8189D839AC||Y|
24000|IN|9100|8D68C4FCFE73212CE0404F8189D839AC||Y|
24000|UA|9100|8D68C4FCFE36212CE0404F8189D839AC||Y|
42000|BL|1800|8D68C4FCFDFA212CE0404F8189D839AC||Y|
42000|IN|1800|8D68C4FCFE74212CE0404F8189D839AC||Y|
42000|UA|1800|8D68C4FCFE37212CE0404F8189D839AC||Y|
42010|BL|1800|8D68C4FCFDFB212CE0404F8189D839AC||Y|
42010|IN|1800|8D68C4FCFE75212CE0404F8189D839AC||Y|
42010|UA|1800|8D68C4FCFE38212CE0404F8189D839AC||Y|
42015|BL|1800|8D68C4FCFDFC212CE0404F8189D839AC||Y|
42015|IN|1800|8D68C4FCFE76212CE0404F8189D839AC||Y|
42015|UA|1800|8D68C4FCFE39212CE0404F8189D839AC||Y|
42020|BL|1800|8D68C4FCFDFD212CE0404F8189D839AC||Y|
42020|IN|1800|8D68C4FCFE77212CE0404F8189D839AC||Y|
42020|UA|1800|8D68C4FCFE3A212CE0404F8189D839AC||Y|
42100|BL|1800|8D68C4FCFDFE212CE0404F8189D839AC||Y|
42100|IN|1800|8D68C4FCFE78212CE0404F8189D839AC||Y|
42100|UA|1800|8D68C4FCFE3B212CE0404F8189D839AC||Y|
42120|BL|1800|8D68C4FCFDFF212CE0404F8189D839AC||Y|
42120|IN|1800|8D68C4FCFE79212CE0404F8189D839AC||Y|
42120|UA|1800|8D68C4FCFE3C212CE0404F8189D839AC||Y|
42140|BL|1800|8D68C4FCFE00212CE0404F8189D839AC||Y|
42140|IN|1800|8D68C4FCFE7A212CE0404F8189D839AC||Y|
42140|UA|1800|8D68C4FCFE3D212CE0404F8189D839AC||Y|
42160|BL|1800|8D68C4FCFE01212CE0404F8189D839AC||Y|
42160|IN|1800|8D68C4FCFE7B212CE0404F8189D839AC||Y|
42160|UA|1800|8D68C4FCFE3E212CE0404F8189D839AC||Y|
42190|BL|1800|8D68C4FCFE02212CE0404F8189D839AC||Y|
42190|IN|1800|8D68C4FCFE7C212CE0404F8189D839AC||Y|
42190|UA|1800|8D68C4FCFE3F212CE0404F8189D839AC||Y|
42200|BL|1800|8D68C4FCFE03212CE0404F8189D839AC||Y|
42200|IN|1800|8D68C4FCFE7D212CE0404F8189D839AC||Y|
42200|UA|1800|8D68C4FCFE40212CE0404F8189D839AC||Y|
42210|BL|1800|8D68C4FCFE04212CE0404F8189D839AC||Y|
42210|IN|1800|8D68C4FCFE7E212CE0404F8189D839AC||Y|
42210|UA|1800|8D68C4FCFE41212CE0404F8189D839AC||Y|
42270|BL|1800|8D68C4FCFE05212CE0404F8189D839AC||Y|
42270|IN|1800|8D68C4FCFE7F212CE0404F8189D839AC||Y|
42270|UA|1800|8D68C4FCFE42212CE0404F8189D839AC||Y|
42300|BL|1800|8D68C4FCFE06212CE0404F8189D839AC||Y|
42300|IN|1800|8D68C4FCFE80212CE0404F8189D839AC||Y|
