sec_cls_cd|sec_cls_cd_desc|sec_rpt_grp|sec_acrl_mthd|sec_etran_cd|sec_inc_etran_post_cd|tax_lot_ind|cls_cd_typ|row_actv_ind|obj_id|ver_nbr|vltn_mthd|
011|Commercial Paper|OTH|N|10700|42140|N|O|Y|8529CD48495A060AE0404F8189D81C0B|1.0|U|
025|Federal Government Bonds|BND|T|10100|42120|N|B|Y|8529CD48495C060AE0404F8189D81C0B|1.0|U|
061|GNMA Bonds|BND|3|10100|42120|N|B|Y|8529CD484958060AE0404F8189D81C0B|1.0|U|
100|Municipal Bonds|BND|T|10300|42160|N|B|Y|8529CD484959060AE0404F8189D81C0B|1.0|U|
200|Corporate Bonds|BND|T|10200|42140|N|B|Y|8529CD48495B060AE0404F8189D81C0B|1.0|U|
300|Bond Trust Investment Pool|POOL|N|12500|42320|Y|P|Y|8529CD48495D060AE0404F8189D81C0B|1.0|U|
301|Pooled Fixed Income Fund|POOL|N|12000|42300|N|P|Y|8529CD48495E060AE0404F8189D81C0B|1.0|U|
307|Pooled Long Term Fund - Income|POOL|N|11700|42270|N|P|Y|8529CD48495F060AE0404F8189D81C0B|1.0|U|
308|Pooled Long Term Fund - Principal|POOL|N|11700|42270|N|P|Y|8529CD484960060AE0404F8189D81C0B|1.0|U|
309|Pooled Long Term Fund - Consolidated|POOL|N|11700|42270|N|P|Y|8529CD484961060AE0404F8189D81C0B|1.0|U|
310|Equity Trust Investment Pool|POOL|N|11500|42210|Y|P|Y|8529CD484962060AE0404F8189D81C0B|1.0|U|
311|Pooled Equity Fund|POOL|N|11000|42200|N|P|Y|8529CD484963060AE0404F8189D81C0B|1.0|U|
326|Pooled Short Term Fund|CSHEQ|A|01200|42010|N|C|Y|8529CD484964060AE0404F8189D81C0B|1.0|U|
400|Stocks - Domestic|STK|D|10000|42100|N|S|Y|8529CD484965060AE0404F8189D81C0B|1.0|U|
401|Stocks - Foreign|STK|D|10000|42100|N|S|Y|8529CD484966060AE0404F8189D81C0B|1.0|U|
495|Stock Mutual Fund or Exchange Traded Fund|STK|D|10400|42100|N|S|Y|8529CD484967060AE0404F8189D81C0B|1.0|U|
498|Bond Mutual Fund or Exchange Traded Fund|STK|T|10100|42140|N|S|Y|8529CD484968060AE0404F8189D81C0B|1.0|U|
580|Alternative Investments|ALT|N|17000|42100|N|A|Y|8529CD484969060AE0404F8189D81C0B|1.0|U|
600|Real Estate|OTH|N|13000|45000|N|O|Y|8529CD48496A060AE0404F8189D81C0B|1.0|U|
700|Petty Cash|CSHEQ|N|00100|42020|N|C|Y|8529CD48496B060AE0404F8189D81C0B|1.0|U|
701|Other Trust Bank Accounts|CSHEQ|N|01005|42000|N|C|Y|8529CD48496C060AE0404F8189D81C0B|1.0|U|
702|Cash & Equivalents Held by Manager|CSHEQ|N|10600|42000|N|O|Y|8529CD484971060AE0404F8189D81C0B|1.0|U|
725|Certificates of Deposit|OTH|M|10900|42015|N|O|Y|8529CD48496D060AE0404F8189D81C0B|1.0|U|
750|Separately Held Money Market|CSHEQ|N|01290|42010|N|C|Y|8529CD48496E060AE0404F8189D81C0B|1.0|U|
801|Mortgage Contract|OTH|N|14000|42190|N|O|Y|8529CD48496F060AE0404F8189D81C0B|1.0|U|
910|Cash Value of Life Insurance|OTH|N|15000|42020|N|L|Y|8529CD484972060AE0404F8189D81C0B|1.0|U|
921|Other Receivable|OTH|N|03050|42020|N|L|Y|8529CD484973060AE0404F8189D81C0B|1.0|U|
922|Accrued Income|OTH|N|02020|42020|N|L|Y|8529CD484974060AE0404F8189D81C0B|1.0|U|
925|Note Receivable - Interfund|OTH|N|05100|45100|N|L|Y|8529CD484975060AE0404F8189D81C0B|1.0|U|
926|Interest Receivable - Interfund|OTH|N|02100|45100|N|L|Y|8529CD484976060AE0404F8189D81C0B|1.0|U|
931|Student Loans|OTH|N|05030|42415|N|L|Y|8529CD484977060AE0404F8189D81C0B|1.0|U|
932|Other Investment Assets|OTH|N|06000|42020|N|L|Y|8529CD484978060AE0404F8189D81C0B|1.0|U|
936|Faculty & Staff Advances|OTH|N|05035|42020|N|L|Y|8529CD484979060AE0404F8189D81C0B|1.0|U|
959|Legal Fees Payable|LIAB|N|22025|74100|N|L|Y|8529CD484970060AE0404F8189D81C0B|1.0|U|
963|Negative Cash & Equiv held by Managers|LIAB|N|10601|42000|N|L|Y|8529CD48497C060AE0404F8189D81C0B|1.0|U|
964|Note Payable - Compton CRUT|LIAB|N|24000|74000|N|L|Y|8529CD48497A060AE0404F8189D81C0B|1.0|U|
965|RE Rental Damage Deposit Payable|LIAB|N|22500|42020|N|L|Y|8529CD48497B060AE0404F8189D81C0B|1.0|U|
