pmt_rqst_stat_cd|obj_id|ver_nbr|pmt_rqst_stat_desc|
ACHA|D040E010-BE30-07D3-89F6-38201069F8F5|1.0|Awaiting Chart Approval|
AFOA|C32BA380-F87A-26B6-5D69-B0C0553035D6|1.0|Awaiting Fiscal Officer Approval|
APAD|35B3A59FDC81719AE043814FD881719A|4.0|Awaiting AP Review|
ARVR|5A69D28F2BFA641FE0404F8189D81816|1.0|Awaiting Receiving|
ASAA|8671ED7F-D2E1-FC38-60ED-4C5474D2AA79|1.0|Awaiting Sub-Account Manager Approval|
ATAX|A218D615-C9D8-1E8A-CB24-9EAB254661E7|1.0|Awaiting Tax Approval|
AUTO|59DBFA8B-F38A-9C20-9404-EB9A767ADC73|1.0|Auto-Approved|
CANC|ED75C863-5F13-C538-DAC3-2A89F6624349|1.0|Cancelled|
CIPR|35B3A59FDC80719AE043814FD881719A|1.0|Cancelled - In Process|
DPTA|FC1A5747-AFE0-DEDD-E6E7-A0D5272D54FE|1.0|Department-Approved|
INIT|35B3A59FDC82719AE043814FD881719A|5.0|Initiated|
INPR|35B3A59FDC83719AE043814FD881719A|2.0|In Process|
PEIN|73743391-815B-47C5-8F93-452CF6E460C1|1.0|Pending Route Electronic Invoice|
