univ_fiscal_yr|dv_diem_cntry_nm|obj_id|ver_nbr|dv_diem_rt|dv_diem_cntry_txt|
2009.0|Foreign|FAAA4296-3FBF-EF18-A1FF-DECEA670F050|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2009.0|U.S. 48|5AADD734-FC8E-947F-B1C6-27A70DAB795E|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2009.0|US-AK & HI|3E0B662B-96F7-E123-328F-61BF748774C1|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2010.0|Foreign|3AB890E2-2A7B-50D7-84D0-B4C332605E19|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2010.0|U.S. 48|E75E19B1-A85B-1FB8-CE55-F1DC88227350|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2010.0|US-AK & HI|B4C7435B-8888-4286-9533-9B8842C3F864|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2011.0|Foreign|68A04967-AC71-BFDD-8F67-16F6581146E1|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2011.0|U.S. 48|13B07B3D-BE2A-685C-53A8-04C534D1A0C8|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2011.0|US-AK & HI|D151F36F-F5DE-327A-9192-E9567EB1DD02|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2012.0|Foreign|4EAB41C2-FA1C-A51B-9B85-5E9D66B6983D|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2012.0|U.S. 48|E6E3929C-1A29-7B65-9661-B6A49D917F64|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2012.0|US-AK & HI|64166553-312B-7D18-60DF-11B44B75F334|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2013.0|Foreign|045610c6-6f82-4c80-88c9-f77ea2727697|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2013.0|U.S. 48|96612331-651f-4ff1-8e98-28ed2d3254b8|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2013.0|US-AK & HI|c830cb32-88eb-42ca-9aae-9c60f152194d|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2014.0|Foreign|1359246d-afd0-4bda-808e-5327c9de08b9|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2014.0|U.S. 48|ce832e4c-44b0-44b1-a24b-85f35135580e|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2014.0|US-AK & HI|5c5689aa-4ac2-45db-8c65-1f5476cd53c8|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2015.0|Foreign|9366fd5a-ec11-42c5-969a-0680f194af3f|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2015.0|U.S. 48|8df9e21b-1fbd-495b-94a8-70330dd21095|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
2015.0|US-AK & HI|cb94d0e9-bb52-4c1f-8985-71cf6223f0e8|2.0||http://www.gsa.gov/Portal/gsa/ep/contentView.do?contentType=GSA_BASIC&contentId=17943&noc=T|
