perm_id|obj_id|ver_nbr|perm_tmpl_id|nmspc_cd|nm|desc_txt|actv_ind|
1|1|1.0|7|KFS-AR|Claim Electronic Payment CTRL|Allows access to the Electronic Fund Transfer interface for the claiming of electronic funds using the Cash Control Document (CTRL).|Y|
10|10|1.0|26|KFS-AR|Modify Maintenance Document Field Customer customerTaxNbr|Allows modification of the Customer Tax Number field on the Customer document.|Y|
100|100|1.0|16|KFS-PURAP|Edit Document REQS PreRoute|Edit permission for the Requisition document prior to the document being submitted.|Y|
101|101|1.0|16|KFS-PURAP|Edit Document PO PreRoute|Edit permission for the Purchase Order document prior to the document being submitted.|Y|
102|102|1.0|16|KFS-PURAP|Edit Document AP PreRoute|Edit permission for Accounts Payable Transactional documents prior to the document being submitted.|Y|
103|103|1.0|16|KFS-PURAP|Edit Document RCV PreRoute|Edit permission for Receiving Transactional documents prior to the document being submitted.|Y|
107|107|1.0|7|KFS-SYS|Claim Electronic Payment|Allows access to the Electronic Fund Transfer interface for the claiming of electronic funds.|Y|
108|108|1.0|6|KFS-SYS|Error Correct Document KFST|Allows access to the Error Correction button on KFS Transactional documents.|Y|
11|11|1.0|33|KFS-AR|Upload Batch Input File(s) customerLoadInputFileType|Allows access to the Customer Upload Batch Upload page.|Y|
1100|1100|1.0|3|KFS-SYS|Administer Routing for Document KFST|Allows users to open Financial System Documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document, approving individual requests, or sending the document to a specified route node).|Y|
1101|1101|1.0|2|KFS-SYS|Copy Document KFS|Allows access to the Copy button on KFS Financial System Documents.|Y|
1103|1103|1.0|51|KFS-SYS|Add Message to Route Log KFS|Allows user to enter a message on the route log|Y|
1104|1104|1.0|10|KFS-ENDOW|Initiate Document ETB|Authorizes the initiation of the Endowment Batch created documents.|Y|
1105|1105|1.0|33|KFS-LD|Upload Batch Input File(s) laborEnterpriseFeederFileSetType|Authorizes user to access the Labor Enterprise Feed Upload page.|Y|
1106|1106|1.0|10|KFS-COA|Initiate Document ACCT|Authorizes the initiation of KFS Account Maintenance Documents.|Y|
113|113|1.0|3|KFS-SYS|Administer Routing for Document KFS|Allows users to open KFS documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document, approving individual requests, or sending the document to a specified route node).|Y|
114|114|1.0|4|KFS-SYS|Blanket Approve Document KFS|Allows access to the Blanket Approval button on KFS Financial System Documents.|Y|
115|115|1.0|10|KFS-SYS|Initiate Document KFS|Authorizes the initiation of Financial System Documents.|Y|
116|116|1.0|10|KFS-SYS|Initiate Document FSSM|Authorizes the initiation of Financial System Simple Maintenance documents.|Y|
117|117|1.0|10|KFS-SYS|Initiate Document BANK|Authorizes the initiation of the Bank Maintenance Document.|Y|
119|119|1.0|35|KFS-SYS|Assign Role KFS*|Authorizes users to modify the information on the Assignees Tab of the Role Document and the Roles section of the Membership Tab on the Person Document for roles with a Module Code beginning with KFS.|Y|
12|12|1.0|29|KFS-AR|Use Screen KFS-AR|Allows users access to screens in the KFS-AR module that are not documents, lookups, inquiries, or batch uploads, i.e. this primarily provides access to AR reports|Y|
120|120|1.0|36|KFS-SYS|Grant Permission KFS*|Authorizes users to modify the information on the Permissions tab of the Role Document for roles with a module code beginning with KFS.|Y|
121|121|1.0|37|KFS-SYS|Grant Responsibility KFS*|Authorizes users to modify the information on the Responsibility tab of the Role Document for roles with a Module Code that begins with KFS.|Y|
122|122|1.0|38|KFS-SYS|Populate Group KFS*|Authorizes users to modify the information on the Assignees Tab of the Group Document and the Group section of the Membership Tab on the Person Document for groups with namespaces beginning with KFS.|Y|
128|128|1.0|27|KFS-SYS|Full Unmask Field Bank bankAccountNumber|Authorizes users to view the entire bank account number on the Bank document and Inquiry.|Y|
129|129|1.0|24|KFS-SYS|Inquire Into Records KFS*|Allows users to access KFS inquiries.|Y|
130|130|1.0|23|KFS-SYS|Look Up Records KFS*|Allow users to access KFS lookups.|Y|
131|131|1.0|34|KFS-SYS|Maintain System Parameter KFS*|Authorizes users to initiate and edit the Parameter document for pameters with a module code beginning with KFS.|Y|
132|132|1.0|32|KFS-SYS|Modify Batch Job KFS*|Allows users to access and run Batch Jobs associated with KFS modules via the Schedule link.|Y|
133|133|1.0|40|KFS-SYS|Open Document KFS|Authorizes users to open KFS Financial System Documents.|Y|
134|134|1.0|28|KFS-SYS|Partial Unmask Field Bank bankAccountNumber|Authorizes users to view the last four-digits of the bank account number on the Bank document and Inquiry.|Y|
135|135|1.0|29|KFS-SYS|Use Screen KFS*|Allows users access to screens in the KFS that are not documents, lookups, inquiries, or batch uploads.|Y|
136|136|1.0|10|KFS-VND|Initiate Document PVEN|Authorizes users to initiate the Vendor Maintenance Document.|Y|
137|137|1.0|27|KFS-VND|Full Unmask Field VendorDetail vendorHeader.vendorTaxNumber|Authorizes users to view the entire Tax Number on the Vendor Maintenance Document and Inquiry.|Y|
138|138|1.0|26|KFS-VND|Modify Maintenance Document Field VendorDetail vendorHeader.vendorTaxNumber|Authorizes users to modify the Tax Number on a Vendor Maintenance Document.|Y|
139|139|1.0|44|KFS-VND|Modify Maintenance Document Section VendorDetail vendorContracts|Authorizes users to see and edit the Contracts Tab on the Vendor Maintenance Document.|Y|
140|5B4F09744944EF33E0404F8189D84F24|1.0|29|KR-WKFLW|Use Document Operation Screen|Allows users to access the Document Operation screen.|Y|
141|5B4F09744945EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Java Security Management Screen|Allows users to access the Java Security Management screen.|Y|
142|5B4F09744946EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Message Queue Screen|Allows users to access the Message Queue screen.|Y|
143|5B4F09744947EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Service Registry Screen|Allows users to access the Service Registry screen.|Y|
144|5B4F09744948EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Thread Pool Screen|Allows users to access the Thread Pool screen.|Y|
145|5B4F09744949EF33E0404F8189D84F24|1.0|29|KR-BUS|Use Quartz Queue Screen|Allows users to access the Quartz Queue screen.|Y|
146|5B4F0974494AEF33E0404F8189D84F24|1.0|9|KR-SYS|Ad Hoc Review RICE Document|Allows a user to receive ad hoc requests for RICE Documents.|Y|
147|5B4F0974494BEF33E0404F8189D84F24|1.0|3|KR-SYS|Administer Routing RICE Document|Allows users to open RICE Documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document, approving individual requests, or sending the document to a specified route node).|Y|
148|5B4F0974494CEF33E0404F8189D84F24|1.0|4|KR-SYS|Blanket Approve RICE Document|Allows access to the Blanket Approval button on RICE Documents.|Y|
149|5B4F0974494DEF33E0404F8189D84F24|1.0|10|KR-SYS|Initiate RICE Document|Authorizes the initiation of RICE Documents.|Y|
15|15|1.0|29|KFS-CAB|Use Screen KFS-CAB|Allows users to access the Capital Asset Builder screens (Purchasing/Accounts Payable Transactions and Other General Ledger Transactions).|Y|
150|5B4F0974494EEF33E0404F8189D84F24|1.0|35|KR-SYS|Assign Role|Authorizes users to modify the information on the Assignees Tab of the Role Document and the Roles section of the Membership Tab on the Person Document for Roles with a Module Code beginning with KR.|Y|
151|5B4F0974494FEF33E0404F8189D84F24|1.0|36|KR-SYS|Grant Permission|Authorizes users to modify the information on the Permissions tab of the Role Document for roles with a module code beginning with KR.|Y|
152|5B4F09744950EF33E0404F8189D84F24|1.0|37|KR-SYS|Grant Responsibility|Authorizes users to modify the information on the Responsibility tab of the Role Document for roles with a Module Code that begins with KR.|Y|
155|5B4F09744953EF33E0404F8189D84F24|1.0|38|KR-SYS|Populate Group|Authorizes users to modify the information on the Assignees Tab of the Group Document and the Group section of the Membership Tab on the Person Document for groups with namespaces beginning with KR.|Y|
156|5B4F09744954EF33E0404F8189D84F24|1.0|2|KR-SYS|Copy RICE Document|Authorizes users to copy RICE Documents.|Y|
16|16|1.0|10|KFS-CAM|Initiate Document MPAY|Authorizes the initiation of the Asset Payments Document.|Y|
161|5B4F09744959EF33E0404F8189D84F24|1.0|24|KR-SYS|Inquire Into RICE Records|Allows users to access Kuali RICE inquiries.|Y|
162|5B4F0974495AEF33E0404F8189D84F24|1.0|23|KR-SYS|Look Up RICE Records|Allow users to access Kuali RICE lookups.|Y|
163|5B4F0974495BEF33E0404F8189D84F24|1.0|34|KR-SYS|Maintain System Parameter|Authorizes to initiate and edit the Parameter document for parameters with a module code beginning with KR.|Y|
164|5B4F0974495CEF33E0404F8189D84F24|1.0|32|KR-SYS|Modify Batch Job|Allows users to access and run Batch Jobs associated with KR modules via the Schedule link.|Y|
165|5B4F0974495DEF33E0404F8189D84F24|1.0|40|KR-SYS|Open RICE Document|Authorizes users to open RICE Documents.|Y|
166|5B4F0974495EEF33E0404F8189D84F24|1.0|29|KR-SYS|Use all RICE Screen|Allows users to access all RICE screens.|Y|
167|5B4F0974495FEF33E0404F8189D84F24|1.0|14|KUALI|Cancel Document|Authorizes users to cancel a document prior to it being submitted for routing.|Y|
168|5B4F09744960EF33E0404F8189D84F24|1.0|5|KUALI|Route Document|Authorizes users to submit a document for routing.|Y|
169|169|1.0|15|KFS-SYS|Save Document KFS|Authorizes user to save documents answering to the FinancialSystemDocument parent document Type.|Y|
17|17|1.0|10|KFS-CAM|Initiate Document BCIE|Authorizes the initiation of the Barcode Inventory Error Document.|Y|
170|5B4F09744962EF33E0404F8189D84F24|1.0|8|KUALI|Take Requested Approve Action|Authorizes users to take the Approve action on documents routed to them.|Y|
172|5B4F09744964EF33E0404F8189D84F24|1.0|8|KUALI|Take Requested FYI Action|Authorizes users to take the FYI action on documents routed to them.|Y|
173|5B4F09744965EF33E0404F8189D84F24|1.0|8|KUALI|Take Requested Acknowledge Action|Authorizes users to take the Acknowledge action on documents routed to them.|Y|
174|5B4F09744966EF33E0404F8189D84F24|1.0|1|KUALI|Log In Kuali Portal|Authorizes users to login to the Kuali portal.|Y|
18|18|1.0|10|KFS-CAM|Initiate Document CAM|Authorizes the initiation of the Capital Asset Management Transactional Documents.|Y|
180|5B4F0974496CEF33E0404F8189D84F24|1.0|16|KUALI|Edit Kuali ENROUTE Document Node Name PreRoute|Allows users to edit Kuali documents that are in ENROUTE status.|Y|
181|5B4F0974496DEF33E0404F8189D84F24|1.0|16|KUALI|Edit Kuali ENROUTE Document Route Status Code R|Allows users to edit Kuali documents that are in ENROUTE status.|Y|
