univ_fiscal_yr|fin_coa_cd|fin_object_cd|obj_id|ver_nbr|dtl_pos_req_cd|fin_obj_hrs_req_cd|fin_obj_pay_typ_cd|finobj_frngslry_cd|pos_obj_grp_cd|actv_ind|
2009.0|BA|2000|5576627C-D5DB-5654-7FD1-9A2C3F19A36A|1.0|Y|N|M|S|AC|Y|
2009.0|BA|2003|0C8D6769-E52A-B1C2-E4C6-C79B1ED444F6|1.0|N|N|X|S|XX|Y|
2009.0|BA|2005|A07CA29A-3F30-C275-10E7-33F8852484F8|1.0|N|N|X|S|XX|Y|
2009.0|BA|2010|3970B146-A54F-06C3-3839-F380055C287F|1.0|N|N|M|S|SU|Y|
2009.0|BA|2170|EC973FAB-8D3D-F95C-4386-5017682019AF|1.0|N|N|M|S|SP|Y|
2009.0|BA|2175|E5E129A0-0585-EE79-9FB7-5D21E3EF81E1|1.0|N|N|M|S|SP|Y|
2009.0|BA|2200|F3CAB256-D905-A79F-AACA-F7CD0535BFF3|1.0|N|N|M|S|SP|Y|
2009.0|BA|2205|AD8F832D-0F6F-445A-A53C-11AEFA8C54F7|1.0|N|N|M|S|SP|Y|
2009.0|BA|2280|79D4920B-7991-4B03-4F23-91D321281D50|1.0|Y|N|M|S|CL|Y|
2009.0|BA|2288|3E03412D-DC8F-A0E6-7470-A03272EF831C|1.0|N|N|M|S|CL|Y|
2009.0|BA|2290|86A3412E-665B-097B-5A5A-63835EFFF7A2|1.0|N|N|M|S|AC|Y|
2009.0|BA|2300|1DA602B5-4514-E688-A930-EC0885D18546|1.0|N|N|M|S|AC|Y|
2009.0|BA|2310|3D2F666F-A286-9520-3C9A-45FD0046E85D|1.0|N|N|M|S|SU|Y|
2009.0|BA|2331|4DAFD455-C753-EBF6-34EF-968E8A2A5774|1.0|N|N|M|S|AC|Y|
2009.0|BA|2332|84DF561E-C55B-999E-49BA-FADD422EF9C1|1.0|N|N|M|S|SU|Y|
2009.0|BA|2340|56A3185B-1EC8-5D60-BC8B-158F866D2F80|1.0|N|N|M|S|AC|Y|
2009.0|BA|2341|7D0E020F-C019-6AAB-A209-B808874E726F|1.0|N|N|M|S|SU|Y|
2009.0|BA|2350|73F762B1-F87D-EBD0-8FF5-CFE924417DAD|1.0|N|N|M|S|AC|Y|
2009.0|BA|2351|D0DD8E0D-580E-92CF-A1BA-3694CF9E1F69|1.0|N|N|M|S|AC|Y|
2009.0|BA|2360|BDE99985-AA13-8679-D4A5-D50753535644|1.0|N|N|M|S|AC|Y|
2009.0|BA|2361|F3228EE3-2DA7-80C0-FB47-CD7C02D044E5|1.0|N|N|M|S|AC|Y|
