acct_typ_cd|obj_id|ver_nbr|acct_typ_nm|row_actv_ind|
AI|014F3DAF81D8A448E043814FD28EA448|1.0|A-21 ACTIVITY IDENTIFIER|Y|
BS|014F3DAF81D9A448E043814FD28EA448|1.0|BALANCE SHEET ACCOUNT|Y|
DP|014F3DAF81DAA448E043814FD28EA448|1.0|DISTINGUISHED PROFESSORSHIP ACCOUNTS|Y|
DT|014F3DAF81DBA448E043814FD28EA448|1.0|DESKTOP COMPUTER ACCOUNTS|Y|
EM|35A5641EA0D191B6E043814FD88191B6|1.0|FINANCIAL AID IU/IUF ENDOWED MERIT-BASED|Y|
EN|35A5641EA0D091B6E043814FD88191B6|1.0|FINANCIAL AID IU/IUF ENDOWED NEED-BASED|Y|
EQ|014F3DAF81DCA448E043814FD28EA448|1.0|EQUIPMENT ACCOUNTS|Y|
FC|014F3DAF81DDA448E043814FD28EA448|1.0|FACULTY COMPUTER EQUIP REPLACEMENT ACCTs|Y|
FM|014F3DAF81EAA448E043814FD28EA448|1.0|FELLOWSHIP MATCH|Y|
FN|35A5641EA0CF91B6E043814FD88191B6|1.0|FINAID FEDERALLY FUNDED NEED-BASED|Y|
FR|014F3DAF81DEA448E043814FD28EA448|1.0|FEE REMISSION ACCOUNTS|Y|
GM|35A5641EA0CE91B6E043814FD88191B6|1.0|FINANCIAL AID GENERAL FUND MERIT-BASED|Y|
GN|35A5641EA0CD91B6E043814FD88191B6|1.0|FINANCIAL AID GENERAL FUND NEED-BASED|Y|
GS|014F3DAF81DFA448E043814FD28EA448|1.0|GRAD FEE SCHOLARSHIPS|Y|
MM|35A5641EA0CC91B6E043814FD88191B6|1.0|FINANCIAL AID IU-IUF MATCH MERIT-BASED|Y|
MN|35A5641EA0CB91B6E043814FD88191B6|1.0|FINANCIAL AID IU-IUF MATCH NEED-BASED|Y|
NA|014F3DAF81E0A448E043814FD28EA448|1.0|NOT APPLICABLE|Y|
ND|014F3DAF81EBA448E043814FD28EA448|1.0|C~G - Not Deferred Revenue Accounts|Y|
PM|35A5641EA0CA91B6E043814FD88191B6|1.0|FINAID PRIVATE/EXTERNAL MERIT-BASED|Y|
PN|35A5641EA0C991B6E043814FD88191B6|1.0|FINAID PRIVATE/EXTERNAL NEED-BASED|Y|
R7|35A5641EA0D291B6E043814FD88191B6|1.0|RENEWAL AND REPL FY07 SPECIAL FUNDING|Y|
RA|014F3DAF81E1A448E043814FD28EA448|1.0|REPORTING AUXILIARIES|Y|
RC|014F3DAF81E2A448E043814FD28EA448|1.0|RC ACCOUNTS|Y|
RE|014F3DAF81E3A448E043814FD28EA448|1.0|RESERVES ACCOUNTS|Y|
RM|35A5641EA0C891B6E043814FD88191B6|1.0|FINAID REPORTING AUXILIARIES-MERIT-BASED|Y|
RN|35A5641EA0C791B6E043814FD88191B6|1.0|FINAID REPORTING AUXILIARIES-NEED-BASED|Y|
S1|014F3DAF81E4A448E043814FD28EA448|1.0|SUMMER I ACCOUNTS|Y|
S2|014F3DAF81E5A448E043814FD28EA448|1.0|SUMMER II ACCOUNTS|Y|
S3|014F3DAF81E6A448E043814FD28EA448|1.0|Summer Workshops|Y|
SI|014F3DAF81E7A448E043814FD28EA448|1.0|SPECIAL INSTITUTES FEE REMISSION|Y|
SM|35A5641EA0C691B6E043814FD88191B6|1.0|FINANCIAL AID STATE-FUNDED MERIT-BASED|Y|
SN|35A5641EA0C591B6E043814FD88191B6|1.0|FINANCIAL AID STATE-FUNDED NEED-BASED|Y|
TR|014F3DAF81E8A448E043814FD28EA448|1.0|CIBTRA-TRANSFER TRANSACTIONS|Y|
WS|014F3DAF81E9A448E043814FD28EA448|1.0|WORK STUDY|Y|
