NMSPC_CD,PARM_DTL_TYP_CD,PARM_NM,PARM_TYP_CD,TXT,PARM_DESC_TXT,CONS_CD,APPL_NMSPC_CD,OBJ_ID
KFS-CAM,Asset,FABRICATED_ACQUISITION_CODE,CONFG,C,"The Asset Acquisition Type code that will populate the ""Acquisition Type Code"" field when the Asset Fabrication document is initiated.",A,KFS,33D86C61-C6F1-4FD6-8A1F-54A0019A28B6
KFS-CAM,Asset,NEW_ASSET_CONDITION_CODE,CONFG,E,The Asset Condition code to be used when the Asset Global (Add) document is generated by processing a transaction using the Capital Asset Builder (CAB) create asset function,A,KFS,BC29B0D3-A61D-4D16-936A-476B19650BF5
KFS-CAM,AssetGlobal,CAPITAL_OBJECT_ACQUISITION_CODES,CONFG,F;G;S,All Capital Asset Acquisition Type codes not otherwise specified in the NEW_AQUISITION_CODE parameter. Allows system to identify non-capital asset acquisition type code(s) and then determines the availability of the following fields on the Asset Global (Add) document: Document Number Document Type Code and Posted Date.,D,KFS,C012ED50-00AF-4B18-85D8-D25CF494D9BB
KFS-CAM,AssetGlobal,NEW_ACQUISITION_CODE,CONFG,A,The Asset Acquisition Type code to be used when the Asset Global (Add) document is generated by processing a transaction using the Capital Asset Builder (CAB) create asset function,A,KFS,A29E7522-AEF2-4D6E-91DD-F8CAE7B5338B
KFS-CAM,AssetGlobal,NON_NEW_ACQUISITION_CODES,CONFG,G;F,Capital Asset Acquisition Types codes representing non-expenditure additions (not purchased). These Type codes are not associated with and do not require the user to enter the following fields on the Asset Global (Add) document: Document Number Document Type Code and Posted Date.,A,KFS,A3239522-13AB-4BFF-A833-4CA46C3EBF32
KFS-CAM,AssetGlobal,PRE_TAGGING_ACQUISITION_CODE,CONFG,P,When tagging information exists for Pre-Asset Tagging on a Purchase Order this is the Asset Acquisition Type code to be used on the Asset Global (Add) document generated by processing a transaction using the Capital Asset Builder (CAB) create asset function.,A,KFS,95C3ECA3-85B2-45DF-A6D7-70498C27AC68
KFS-COA,Account,ACCOUNT_ADDRESS_TYPE,CONFG,ADMIN;PAYMENT;DEFAULT,Defines the cascading order for extracting the addresses,A,KFS,C0DC1B2A-77C9-42FC-8461-31810391B1A8
KFS-COA,Account,RESEARCH_ADMIN_AUTO_CREATE_ACCOUNT_WORKFLOW_ACTION,CONFG,save,This parameter defines the workflow action that will be taken on an account document automatically generated by an integrated research admin system. The possible parameter values are save submit and blanketApprove.,A,KFS,6D4BE6C4-EC17-429B-B81C-ABA6EF2C8A37
KFS-COA,ObjectCode,ENABLE_RESEARCH_ADMIN_OBJECT_CODE_ATTRIBUTE_IND,CONFG,Y,Set this value to Y if you are using both Research Admin System and KFS and wish for KC budgets to use KFS Object Codes. This will cause the Research Admin Attributes tab to appear on the Object Code document. Set this value to N if you are not using Research Admin System and KFS or if you wish Research Admin System to maintain a distinct list of object codes.,A,KFS,8D8F0FFB-2372-4F37-B646-9381477B1410
KFS-FP,AdvanceDeposit,OBJECT_CONSOLIDATIONS,VALID,FDBL,Object Consolidations restricted from use on the Advance Deposit document,D,KFS,76F41AB7-A1AB-4F99-8128-FD734BCC545E
KFS-FP,AdvanceDeposit,OBJECT_SUB_TYPES,VALID,CA;BU;FB;PL;MT;CE;FR;HW;RE;SA;VA,Object Sub-Types restricted from use on the Advance Deposit document,D,KFS,34ABEE65-24A5-489C-BDCC-A2B86E69AA9B
KFS-FP,AdvanceDeposit,OBJECT_TYPES,VALID,ES;IC,Object Types restricted from use on the Advance Deposit document,D,KFS,0F904A1D-DA2F-4741-BF9A-CEEC4E4BB5CC
KFS-FP,BudgetAdjustment,RESEARCH_ADMIN_BA_DOCUMENT_ROUTE_ACTION,CONFG,save,If KFS is integrated with a Research Admin System that has the ability to generate KFS budget adjustment documents this is the routing action that will take place on the generated document.,A,KFS,68FDBB1E-9AD3-47A3-9EAC-28BDF72FE736
KFS-FP,CreditCardReceipt,OBJECT_CONSOLIDATIONS,VALID,FDBL,Object Consolidations restricted from use on the Credit Card Receipt document,D,KFS,822B6DBC-F460-45E8-BABF-B1516529C48E
