kemid|avail_inc_csh|avail_prin_csh|avail_tot_csh|obj_id|ver_nbr|
032A017014|305709.43|0.0|305709.43|8529CD48650B060AE0404F8189D81C0B|1.0|
032AS06149|488.68|0.0|488.68|8529CD48650C060AE0404F8189D81C0B|1.0|
032AS08053|33997.37|0.0|33997.37|8529CD48650D060AE0404F8189D81C0B|1.0|
032AS11040|15714.53|0.0|15714.53|8529CD48650E060AE0404F8189D81C0B|1.0|
032B011354|26279.45|0.0|26279.45|8529CD48650F060AE0404F8189D81C0B|1.0|
032D008242|3949.6|0.0|3949.6|8529CD486510060AE0404F8189D81C0B|1.0|
032L006015|112930.53|0.0|112930.53|8529CD486511060AE0404F8189D81C0B|1.0|
032L006098|22461.66|0.0|22461.66|8529CD486512060AE0404F8189D81C0B|1.0|
032P002085|4109.01|0.0|4109.01|8529CD486513060AE0404F8189D81C0B|1.0|
032P002101|227.59|0.0|227.59|8529CD486514060AE0404F8189D81C0B|1.0|
032P011045|11.54|0.0|11.54|8529CD486515060AE0404F8189D81C0B|1.0|
037A014184|0.0|0.0|0.0|8529CD486516060AE0404F8189D81C0B|1.0|
037A017013|2578445.03|0.0|2578445.03|8529CD486517060AE0404F8189D81C0B|1.0|
037AS12302|32464.79|0.0|32464.79|8529CD486518060AE0404F8189D81C0B|1.0|
037AS34082|19352.43|0.0|19352.43|8529CD486519060AE0404F8189D81C0B|1.0|
037AS35022|633.53|0.0|633.53|8529CD48651A060AE0404F8189D81C0B|1.0|
037AS36012|987.7|0.0|987.7|8529CD48651B060AE0404F8189D81C0B|1.0|
037AS38026|128155.84|0.0|128155.84|8529CD48651C060AE0404F8189D81C0B|1.0|
037AS54239|4743.49|0.0|4743.49|8529CD48651D060AE0404F8189D81C0B|1.0|
037B011AG1|0.0|0.0|0.0|8529CD48651E060AE0404F8189D81C0B|1.0|
037B012161|261487.49|0.0|261487.49|8529CD48651F060AE0404F8189D81C0B|1.0|
037E009701|11562.12|0.0|11562.12|8529CD486520060AE0404F8189D81C0B|1.0|
037E009727|18854.13|0.0|18854.13|8529CD486521060AE0404F8189D81C0B|1.0|
037F002010|20417.38|0.0|20417.38|8529CD486522060AE0404F8189D81C0B|1.0|
037G003785|0.0|0.0|0.0|8529CD486523060AE0404F8189D81C0B|1.0|
037G030812|9251.34|0.0|9251.34|8529CD486524060AE0404F8189D81C0B|1.0|
037H004261|2928.98|0.0|2928.98|8529CD486525060AE0404F8189D81C0B|1.0|
037I002512|4634.9|0.0|4634.9|8529CD486526060AE0404F8189D81C0B|1.0|
037K008284|14665.74|0.0|14665.74|8529CD486527060AE0404F8189D81C0B|1.0|
037L006493|27230.59|0.0|27230.59|8529CD486528060AE0404F8189D81C0B|1.0|
037L006709|0.0|0.0|0.0|8529CD486529060AE0404F8189D81C0B|1.0|
037MDER022|26225.98|0.0|26225.98|8529CD48652A060AE0404F8189D81C0B|1.0|
037MDSL103|9902.59|0.0|9902.59|8529CD48652B060AE0404F8189D81C0B|1.0|
037MMED197|26184.1|0.0|26184.1|8529CD48652C060AE0404F8189D81C0B|1.0|
037MPHC132|11016.25|0.0|11016.25|8529CD48652D060AE0404F8189D81C0B|1.0|
037O009148|1591.3|0.0|1591.3|8529CD48652E060AE0404F8189D81C0B|1.0|
037P003108|1553.14|0.0|1553.14|8529CD48652F060AE0404F8189D81C0B|1.0|
037P004148|43603.46|0.0|43603.46|8529CD486530060AE0404F8189D81C0B|1.0|
037P011291|1360.83|0.0|1360.83|8529CD486531060AE0404F8189D81C0B|1.0|
037RQ04222|1202.66|0.0|1202.66|8529CD486532060AE0404F8189D81C0B|1.0|
037RT04333|1922.86|0.0|1922.86|8529CD486533060AE0404F8189D81C0B|1.0|
037S012056|6813.76|0.0|6813.76|8529CD486534060AE0404F8189D81C0B|1.0|
037SC00501|10472.08|0.0|10472.08|8529CD486535060AE0404F8189D81C0B|1.0|
037V009140|3342.26|0.0|3342.26|8529CD486536060AE0404F8189D81C0B|1.0|
037V010080|3512.59|0.0|3512.59|8529CD486537060AE0404F8189D81C0B|1.0|
037WHMM024|27447.04|0.0|27447.04|8529CD486538060AE0404F8189D81C0B|1.0|
037X002044|17964.43|0.0|17964.43|8529CD486539060AE0404F8189D81C0B|1.0|
038A017011|455455.54|3841645.94|4297101.48|8529CD48653A060AE0404F8189D81C0B|1.0|
038AS00057|175299.08|244503.9|419802.98|8529CD48653B060AE0404F8189D81C0B|1.0|
038AS06237|2388.95|18221.96|20610.91|8529CD48653C060AE0404F8189D81C0B|1.0|
038AS17028|7034.6|155839.72|162874.32|8529CD48653D060AE0404F8189D81C0B|1.0|
038AS53023|0.0|5.93|5.93|8529CD48653E060AE0404F8189D81C0B|1.0|
038B011179|54713.36|292433.58|347146.94|8529CD48653F060AE0404F8189D81C0B|1.0|
038CC00118|5426.45|8285.43|13711.88|8529CD486540060AE0404F8189D81C0B|1.0|
038D008041|7321.02|6448.39|13769.41|8529CD486541060AE0404F8189D81C0B|1.0|
038E009022|554077.0|2726979.8|3281056.8|8529CD486542060AE0404F8189D81C0B|1.0|
038F002075|10670.13|250059.32|260729.45|8529CD486543060AE0404F8189D81C0B|1.0|
038G003452|444652.69|203591.28|648243.97|8529CD486544060AE0404F8189D81C0B|1.0|
038IU09022|627285.76|1.080738643E7|1.143467219E7|8529CD486545060AE0404F8189D81C0B|1.0|
038K008027|879748.56|207766.29|1087514.85|8529CD486546060AE0404F8189D81C0B|1.0|
038L006228|11819.5|14878.89|26698.39|8529CD486547060AE0404F8189D81C0B|1.0|
038MCCC134|16569.88|3541.27|20111.15|8529CD486548060AE0404F8189D81C0B|1.0|
038MDSL325|558062.59|407.95|558470.54|8529CD486549060AE0404F8189D81C0B|1.0|
038MPHC072|1238.71|8580.05|9818.76|8529CD48654A060AE0404F8189D81C0B|1.0|
038MSCI011|302.29|6819.84|7122.13|8529CD48654B060AE0404F8189D81C0B|1.0|
038N008222|567.76|13352.96|13920.72|8529CD48654C060AE0404F8189D81C0B|1.0|
038P011463|9999.96|59.33|10059.29|8529CD48654D060AE0404F8189D81C0B|1.0|
038RPS1012|15024.45|39147.46|54171.91|8529CD48654E060AE0404F8189D81C0B|1.0|
038RQ04162|82768.68|804850.8|887619.48|8529CD48654F060AE0404F8189D81C0B|1.0|
038RR04087|4241.93|22018.03|26259.96|8529CD486550060AE0404F8189D81C0B|1.0|
038RT04091|67693.47|37411.88|105105.35|8529CD486551060AE0404F8189D81C0B|1.0|
038RV04351|24021.27|106190.93|130212.2|8529CD486552060AE0404F8189D81C0B|1.0|
038SC01010|1128.52|1041.26|2169.78|8529CD486553060AE0404F8189D81C0B|1.0|
