kemid|me_dt_id|sec_id|regis_cd|hldg_lot_nbr|hldg_ip_ind|hldg_units|hldg_cost|hldg_annl_inc_est|sec_unit_val|hldg_acqd_dt|hldg_prior_acrd_inc|hldg_acrd_inc_due|last_tran_dt|hldg_mval|obj_id|ver_nbr|avg_mval|hldg_fy_rem_est_inc|hldg_next_fy_est_inc|
032A017014|1.0|094420981|0NI|1.0|I|20.0|10000.0|0.0|500.0|20070101000000|0.0|0.0|20070630000000|10000.0|87840182087CF247E0404F8189D84D1E|1.0|10000.0|0.0|0.0|
032A017014|1.0|99MMKT013|0AI|1.0|I|6234237.0|6234237.0|107852.3|1.0|20070101000000|0.0|0.0|20070630000000|6234237.0|878401820878F247E0404F8189D84D1E|1.0|0.0|0.0|107852.3|
032A017014|1.0|99PLTF013|0CI|1.0|I|678791.422|678791.42|39098.39|1.35134|20070101000000|0.0|0.0|20070630000000|917278.0|87840182087BF247E0404F8189D84D1E|1.0|917278.0|0.0|39098.39|
032A017014|1.0|99PSTF018|0AI|1.0|I|3214.0|3214.0|96.42|1.0|20070101000000|0.0|33.8345|20070630000000|3214.0|878401820879F247E0404F8189D84D1E|1.0|0.0|0.0|96.42|
032A017014|1.0|REHUNT017|0BI|1.0|I|10000.0|10000.0|0.0|1.0|20070101000000|0.0|0.0|20070630000000|10000.0|87840182087AF247E0404F8189D84D1E|1.0|10000.0|0.0|0.0|
032A017014|2.0|094420981|0NI|1.0|I|20.0|10000.0|0.0|500.0|20070101000000|0.0|0.0|20070731000000|10000.0|8784018209E6F247E0404F8189D84D1E|1.0|10000.0|0.0|0.0|
032A017014|2.0|99MMKT013|0AI|1.0|I|6245720.0|6245720.0|108050.96|1.0|20070101000000|0.0|0.0|20070731000000|6245720.0|8784018209E2F247E0404F8189D84D1E|1.0|0.0|99046.71|0.0|
032A017014|2.0|99PLTF013|0CI|1.0|I|678791.422|678791.42|39912.94|1.34225|20070101000000|0.0|0.0|20070731000000|911107.79|8784018209E5F247E0404F8189D84D1E|1.0|911107.79|36586.86|0.0|
032A017014|2.0|99PSTF018|0AI|1.0|I|2578.0|2578.0|77.34|1.0|20070101000000|0.0|6.28089|20070731000000|2578.0|8784018209E3F247E0404F8189D84D1E|1.0|0.0|70.9|0.0|
032A017014|2.0|REHUNT017|0BI|1.0|I|10000.0|10000.0|0.0|1.0|20070101000000|0.0|0.0|20070731000000|10000.0|8784018209E4F247E0404F8189D84D1E|1.0|10000.0|0.0|0.0|
