etran_cd|etran_cd_desc|etran_typ_cd|obj_id|ver_nbr|corpus_ind|row_actv_ind|
00100|Petty Cash|A|8529CD484869060AE0404F8189D81C0B|1.0|N|Y|
01005|Other Trust Bank Accounts|A|8529CD48486A060AE0404F8189D81C0B|1.0|N|Y|
01200|Money Market Participation|A|8529CD48486B060AE0404F8189D81C0B|1.0|N|Y|
01205|Money Market Participant Liab|A|8529CD48486C060AE0404F8189D81C0B|1.0|N|Y|
01290|Separately Held Money Market|A|8529CD48486D060AE0404F8189D81C0B|1.0|N|Y|
02020|Int Receivable - Sep Held|A|8529CD48486E060AE0404F8189D81C0B|1.0|N|Y|
02100|Int Receivable - Interfund|A|8529CD48486F060AE0404F8189D81C0B|1.0|N|Y|
03050|Other Receivables|A|8529CD484870060AE0404F8189D81C0B|1.0|N|Y|
05030|Student Loans|A|8529CD484871060AE0404F8189D81C0B|1.0|N|Y|
05035|Faculty & Staff Advances|A|8529CD484872060AE0404F8189D81C0B|1.0|N|Y|
05100|Notes Receivable - Interfund|A|8529CD484873060AE0404F8189D81C0B|1.0|N|Y|
06000|Other Assets|A|8529CD484874060AE0404F8189D81C0B|1.0|N|Y|
10000|Common and Preferred Stock|A|8529CD484875060AE0404F8189D81C0B|1.0|N|Y|
10100|US Securities - Par|A|8529CD484876060AE0404F8189D81C0B|1.0|N|Y|
10200|Corp Bonds - Par|A|8529CD484877060AE0404F8189D81C0B|1.0|N|Y|
10300|Tax Exempt - Par|A|8529CD484878060AE0404F8189D81C0B|1.0|N|Y|
10400|Mutual Funds|A|8529CD484879060AE0404F8189D81C0B|1.0|N|Y|
10600|Outside Managers Cash & Cash Equivalents|A|8529CD48487A060AE0404F8189D81C0B|1.0|N|Y|
10601|Negative Cash &Equivalents held by mgrs|A|8529CD4848A4060AE0404F8189D81C0B|1.0|N|Y|
10700|Commercial Paper|A|8529CD48487B060AE0404F8189D81C0B|1.0|N|Y|
10900|Certificates of Deposit|A|8529CD48487C060AE0404F8189D81C0B|1.0|N|Y|
11000|Pooled Equity Shares|A|8529CD48487D060AE0404F8189D81C0B|1.0|N|Y|
11100|PEF - Participant Liability|A|8529CD48487E060AE0404F8189D81C0B|1.0|N|Y|
11500|Equity Trust Investment Pool|A|8529CD48487F060AE0404F8189D81C0B|1.0|N|Y|
11700|Pooled Long Term Investment Fund|A|8529CD484880060AE0404F8189D81C0B|1.0|N|Y|
12000|Pooled Fixed Income Shares|A|8529CD484881060AE0404F8189D81C0B|1.0|N|Y|
12100|PFI - Participant Liability|A|8529CD484882060AE0404F8189D81C0B|1.0|N|Y|
12500|Bond Trust Investment Pool|A|8529CD484883060AE0404F8189D81C0B|1.0|N|Y|
13000|Real Estate|A|8529CD484884060AE0404F8189D81C0B|1.0|N|Y|
14000|Mortgage Contracts|A|8529CD484885060AE0404F8189D81C0B|1.0|N|Y|
15000|CSV of Life Insurance|A|8529CD484886060AE0404F8189D81C0B|1.0|N|Y|
17000|Alternative Investments|A|8529CD484887060AE0404F8189D81C0B|1.0|N|Y|
22025|Legal Fees Payable|L|8529CD484888060AE0404F8189D81C0B|1.0|N|Y|
22500|Damage deposit payable|L|8529CD484889060AE0404F8189D81C0B|1.0|N|Y|
24000|Notes Pay - Compton CRUT|L|8529CD48488A060AE0404F8189D81C0B|1.0|N|Y|
42000|Trust Accounts - Interest|I|8529CD48488B060AE0404F8189D81C0B|1.0|N|Y|
42010|Money Markets - Interest|I|8529CD48488C060AE0404F8189D81C0B|1.0|N|Y|
42015|CDs - Interest|I|8529CD48488D060AE0404F8189D81C0B|1.0|N|Y|
42020|Miscellaneous - Interest|I|8529CD48488E060AE0404F8189D81C0B|1.0|N|Y|
42100|Stock Dividends|I|8529CD48488F060AE0404F8189D81C0B|1.0|N|Y|
42120|US Securities - Interest|I|8529CD484890060AE0404F8189D81C0B|1.0|N|Y|
42140|Corp Bonds - Interest|I|8529CD484891060AE0404F8189D81C0B|1.0|N|Y|
