kemid|agrmnt_id|agrmnt_typ_cd|agrmnt_stat_cd|agrmnt_stat_dt|agrmnt_othr_doc|donr_intnt_txt|cmnt|row_actv_ind|ver_nbr|obj_id|
032A017014|1.0|G|COMP|19991228000000||"This Account shall be used for annual athletic student scholarships.  The number, amount and recipients of the scholarships will be determined by the Athletic Department and as permitted by the NCAA.  Should the annual contributions received exceed the am"||Y|1.0|8529CD484BC0060AE0404F8189D81C0B|
032AS06149|1.0|G|COMP|19990317000000||"This Account shall be used for the general support for faculty and graduate students in inorganic chemistry.  Expenditures may include but are not limited to, education, research, travel, supplies, awards, fellowships, and other expenses which may best se"||Y|1.0|8529CD484BC1060AE0404F8189D81C0B|
032AS06198|1.0|G|COMP|20010409000000||This Account shall be used to provide general support to further the research activities in organic synthesis of the Johnston Research Group within the Department of Chemistry at IUB.||Y|1.0|8529CD484BC2060AE0404F8189D81C0B|
032AS08053|1.0|G|COMP|19991224000000||This Account shall be used for the general support of the Comparative Literature Program at the discretion of the Chair.||Y|1.0|8529CD484BC3060AE0404F8189D81C0B|
032AS11040|1.0|G|COMP|19970515000000||"It is the intent of the Donors that the account be used for faculty and staff recruiting, faculty development, faculty travel, program promotion, speaker/visitor expenses, computer software, and other expenses which may best serve the project."||Y|1.0|8529CD484BC4060AE0404F8189D81C0B|
032B011354|1.0|G|COMP|20060830000000||"It is the intent of the Donors, and the Foundation agrees, that these gifts be used to support the Kelley School of Business activities related to teaching business turnaround concepts.  Expenses include, but are not limited to, development of case materi"||Y|1.0|8529CD484BC5060AE0404F8189D81C0B|
032D008242|1.0|G|COMP|20071130000000||"It is the intent of the Donors, and the Foundation agrees, that this gift be used to support undergraduate scholarships for students enrolled Dental Hygiene Program at the School.  Preference should be given to students living in Randolph County Indiana o"||Y|1.0|8529CD484BC6060AE0404F8189D81C0B|
032L006015|1.0|G|COMP|19970916000000||It is the intent of the Donors that the gifts be used for scholarships.  This fund will receive named scholarships that are too small to warrant a separate account as well as general scholarship monies.  The school scholarship committee will determined th||Y|1.0|8529CD484BC7060AE0404F8189D81C0B|
032L006098|1.0|G|COMP|20000203000000||"This Account shall be used for annual student fellowships for students at the Indiana University School of Law, who demonstrate an interest in the area of public interest law.  The number, amount, and recipient(s) of the fellowships will be determined by "|IU Account  26-473-83|Y|1.0|8529CD484BC8060AE0404F8189D81C0B|
032P002085|1.0|G|COMP|20080204000000||"It is the intent of the Donors, and the Foundation agrees, that these gifts be used for the general support of the Multicultural Center at IUPUI."||Y|1.0|8529CD484BC9060AE0404F8189D81C0B|
032P002101|1.0|G|COMP|20080902000000||"It is the intent of the Donors, and the Foundation agrees, that these gifts be used for general support of the office of Housing and Residence Life at IUPUI."||Y|1.0|8529CD484BCA060AE0404F8189D81C0B|
032P011045|1.0|B|PEND|19760416000000||Account Intent Not Finalized||Y|1.0|8529CD484BCB060AE0404F8189D81C0B|
032P011094|1.0|G|COMP|19990129000000||"This Account shall be used for the general operating purposes of the public speaking program of the Communication Studies Department.  Uses shall include, but not be limited to, activities related to public speaking competitions and enrichment and recogni"||Y|1.0|8529CD484BCC060AE0404F8189D81C0B|
037A014184|1.0|F|COMP|19920417000000||"The Funds will be used for support and maintenance of scholarships for athletes in their respective sports. The number, amount, and recipients of the scholarships will be determined by the Director of Athletics.  The scholarships will be in the amount "||Y|1.0|8529CD484BCD060AE0404F8189D81C0B|
037A017013|1.0|M|COMP|20070611000000||Multiple Gift Agreements on File||Y|1.0|8529CD484BCE060AE0404F8189D81C0B|
037AS12302|1.0|G|COMP|20061109000000||"It is the intent of the Donors, and the Foundation agrees, that the income from this gift be used to support a doctoral fellowship in the Department of English.  The recipient will have a record of academic distinction and excellence. The Fellowship wi"||Y|1.0|8529CD484BCF060AE0404F8189D81C0B|
037AS34082|1.0|G|COMP|20010219000000||It is the intent of the Donor that income from this gift be used to support graduate student(s) in Sociology for purposes including, but not limited to, graduate fellowships, research support, or prizes for outstanding research.  The number, amount, and r||Y|1.0|8529CD484BD0060AE0404F8189D81C0B|
