kemid|sec_id|regis_cd|hldg_lot_nbr|hldg_ip_ind|hldg_units|hldg_cost|hldg_annl_inc_est|hldg_fy_rem_est_inc|hldg_next_fy_est_inc|sec_unit_val|hldg_acqd_dt|hldg_prior_acrd_inc|hldg_acrd_inc_due|last_tran_dt|hldg_mval|obj_id|ver_nbr|
032A017014|094420981|0NI|1.0|I|20.0|10000.0|0.0|0.0|0.0|500.0|20051101000000|0.0|0.0|20020627000000|10000.0|8529CD4863C9060AE0404F8189D81C0B|1.0|
032A017014|99MMKT013|0AI|1.0|I|282586.0|282586.0|0.0|0.0|0.0|1.0|20091123000000|0.0|0.0|20091123000000|282586.0|8529CD4863CA060AE0404F8189D81C0B|1.0|
032A017014|99PSTF018|0AI|1.0|I|23123.0|23123.0|0.0|0.0|0.0|1.0|20091210000000|1.2|0.0|20091210000000|23123.0|8529CD4863CB060AE0404F8189D81C0B|1.0|
032A017014|REHUNT017|REI|1.0|I|10000.0|10000.0|0.0|0.0|0.0|1.0|20080930000000|0.0|0.0|20080930000000|10000.0|8529CD4863CC060AE0404F8189D81C0B|1.0|
032AS06149|99PLTF013|0CI|1.0|I|2012.0|1963.85|111.06|46.28|0.0|0.90484|20051101000000|0.0|0.0|20040226000000|1820.54|8529CD4863CD060AE0404F8189D81C0B|1.0|
032AS06149|99PSTF018|0AI|1.0|I|488.0|488.0|0.0|0.0|0.0|1.0|20091201000000|0.09|0.0|20091201000000|488.0|8529CD4863CE060AE0404F8189D81C0B|1.0|
032AS08053|99PLTF013|0CI|1.0|I|8163.0|8850.73|450.6|187.75|0.0|0.90484|20051101000000|0.0|0.0|20000228000000|7386.21|8529CD4863CF060AE0404F8189D81C0B|1.0|
032AS08053|99PSTF018|0AI|1.0|I|33997.0|33997.0|0.0|0.0|0.0|1.0|20091209000000|6.8|0.0|20091209000000|33997.0|8529CD4863D0060AE0404F8189D81C0B|1.0|
032AS11040|99PLTF013|0CI|1.0|I|4111.0|4404.53|226.93|94.55|0.0|0.90484|20051101000000|0.0|0.0|20071025000000|3719.8|8529CD4863D1060AE0404F8189D81C0B|1.0|
032AS11040|99PSTF018|0AI|1.0|I|15714.0|15714.0|0.0|0.0|0.0|1.0|20091201000000|3.39|0.0|20091201000000|15714.0|8529CD4863D2060AE0404F8189D81C0B|1.0|
032B011354|99PSTF018|0AI|1.0|I|26279.0|26279.0|0.0|0.0|0.0|1.0|20091001000000|5.38|0.0|20091001000000|26279.0|8529CD4863D3060AE0404F8189D81C0B|1.0|
032D008242|99PSTF018|0AI|1.0|I|3949.0|3949.0|0.0|0.0|0.0|1.0|20091001000000|0.81|0.0|20091001000000|3949.0|8529CD4863D4060AE0404F8189D81C0B|1.0|
