KIM_TYP_ATTR_ID,OBJ_ID,VER_NBR,SORT_CD,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ACTV_IND
KFS10239,KFS-TEM-TYP-ATTR-000,1,a,KFS10249,KFS10236,Y
KFS10240,KFS-TEM-TYP-ATTR-001,1,a,KFS10250,22,Y
KFS10241,KFS-TEM-TYP-ATTR-002,1,b,KFS10250,24,Y
KFS10242,KFS-TEM-TYP-ATTR-003,1,c,KFS10250,25,Y
KFS10243,KFS-TEM-TYP-ATTR-004,1,a,KFS10251,22,Y
KFS10244,KFS-TEM-TYP-ATTR-005,1,b,KFS10251,24,Y
KFS10245,KFS-TEM-TYP-ATTR-006,1,c,KFS10251,25,Y
KFS10246,KFS-TEM-TYP-ATTR-007,1,a,KFS10252,KFS10236,Y
KFS10247,KFS-TEM-TYP-ATTR-008,1,a,KFS10254,KFS10238,Y
KFS10683,KFS-TEM-TYP-ATTR-009,1,a,KFS10681,22,Y
KFS10684,KFS-TEM-TYP-ATTR-010,1,b,KFS10681,24,Y
KFS10685,KFS-TEM-TYP-ATTR-011,1,c,KFS10681,KFS10682,Y
