UNIV_FISCAL_YR,FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,FIN_OBJECT_CD,FIN_SUB_OBJ_CD,FIN_BALANCE_TYP_CD,FIN_OBJ_TYP_CD,ACLN_ANNL_BAL_AMT,FIN_BEG_BAL_LN_AMT,CONTR_GR_BB_AC_AMT,MO1_ACCT_LN_AMT,MO2_ACCT_LN_AMT,MO3_ACCT_LN_AMT,MO4_ACCT_LN_AMT,MO5_ACCT_LN_AMT,MO6_ACCT_LN_AMT,MO7_ACCT_LN_AMT,MO8_ACCT_LN_AMT,MO9_ACCT_LN_AMT,MO10_ACCT_LN_AMT,MO11_ACCT_LN_AMT,MO12_ACCT_LN_AMT,MO13_ACCT_LN_AMT,TIMESTAMP
2012,BL,0211401,-----,1427,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,1429,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,1466,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,1508,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,1553,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,2008,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,2288,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,2349,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,2352,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,2380,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,2408,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,2488,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,3000,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,3100,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,3150,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,3205,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,3250,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,3854,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4000,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4002,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4010,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4012,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4013,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4015,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4016,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4021,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4022,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4024,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4030,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4035,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4036,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4037,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4040,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4042,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4045,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4050,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4055,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4061,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4073,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4074,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4075,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4079,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4080,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4082,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4083,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4084,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4085,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4086,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4087,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4090,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4100,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4110,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4115,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4116,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4120,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4125,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4126,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4151,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4155,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4159,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4166,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4180,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4200,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4300,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4301,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4302,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4309,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4370,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4509,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4519,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4520,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4524,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4561,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4562,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4563,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4615,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4616,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4617,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4620,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4625,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4670,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4671,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4673,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4680,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4684,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4690,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4694,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4723,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
2012,BL,0211401,-----,4741,---,AC,EX,100,0,120,10,10,10,10,10,10,10,10,10,10,10,10,0,NULL
